Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
55,Travis Brunson,691,55,15:05 - s,306,155 reps - s,134,168 reps - s,95,244 reps - s,101,8:41 - s
56,Ben Kail,702,76,15:38 - s,170,172 reps - s,317,131 reps - s,100,244 reps - s,39,7:55 - s
57,Brian Bedard,710,49,14:54 - s,100,184 reps - s,226,143 reps - s,165,234 reps - s,170,9:18 - s
58,Vern Miranda,714,153,16:35 - s,112,180 reps - s,307,132 reps - s,90,245 reps - s,52,8:14 - s
59,Javier Carreno,720,41,14:45 - s,149,174 reps - s,348,130 reps - s,54,252 reps - s,128,8:55 - s
60,Joshua Richards,751,77,15:39 - s,454,141 reps - s,63,203 reps - s,96,244 reps - s,61,8:20 - s
61,Preston Moman,752,21,13:58 - s,146,174 reps - s,121,178 reps - s,394,209 reps - s,70,8:28 - s
62,Christian Tyler,756,88,15:47 - s,24,214 reps - s,423,118 reps - s,38,258 reps - s,183,9:24 - s
63,Griffin Dunn,760,34,14:25 - s,517,138 reps - s,67,203 reps - s,55,252 reps - s,87,8:34 - s
64,Blake More,767,48,14:53 - s,25,214 reps - s,570,105 reps - s,12,275 reps - s,112,8:49 - s
64,Brian Whittemore,767,68,15:28 - s,83,189 reps - s,440,117 reps - s,29,264 reps - s,147,9:07 - s
66,Andy Light,784,47,14:50 - s,76,190 reps - s,589,104 reps - s,41,255 reps - s,31,7:49 - s
66,Kevin Mcelveen,784,217,17:10 - s,141,175 reps - s,254,142 reps - s,94,245 reps - s,78,8:30 - s
68,Toney Sauls,786,205,17:04 - s,303,156 reps - s,17,19:30 - s,111,241 reps - s,150,9:09 - s
69,Jorge Fernandez,815,257,17:32 - s,109,180 reps - s,172,156 reps - s,257,220 reps - s,20,7:37 - s
70,John Ellis,819,540,19:16 - s,163,172 reps - s,15,18:31 - s,45,254 reps - s,56,8:17 - s
71,Chris Stewart,824,100,15:57 - s,103,180 reps - s,441,117 reps - s,57,251 reps - s,123,8:53 - s
72,Pablo Acosta,833,268,17:38 - s,228,166 reps - s,153,166 reps - s,78,247 reps - s,106,8:45 - s
73,Scott Mcconnelee,834,5,12:38 - s,15,220 reps - s,791,93 reps - s,20,268 reps - s,3,6:38 - s
74,Juan Garcia,837,26,14:10 - s,66,196 reps - s,341,130 reps - s,140,238 reps - s,264,9:52 - s
75,Jeff Arnold,841,98,15:56 - s,315,154 reps - s,194,154 reps - s,159,235 reps - s,75,8:29 - s
76,Bruno Garcia,848,214,17:08 - s,167,172 reps - s,92,191 reps - s,76,247 reps - s,299,10:10 - s
77,Christian Camacho,849,182,16:51 - s,67,196 reps - s,385,129 reps - s,80,247 reps - s,135,8:59 - s
78,Matt Dederick,860,337,18:03 - s,200,170 reps - s,99,191 reps - s,133,239 reps - s,91,8:35 - s
79,Flynn Fidgeon,869,69,15:29 - s,85,189 reps - s,448,117 reps - s,46,253 reps - s,221,9:36 - s
