Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
55,Terrill Hagar,472,13,14:12 - s,5,221 reps - s,391,0,43,230 reps - s,20,8:04 - s
56,Sunil Shah,474,105,17:31 - s,107,140 reps - s,99,129 reps - s,89,213 reps - s,74,9:45 - s
57,Peter Ramsay,482,183,19:11 - s,127,136 reps - s,65,141 reps - s,52,226 reps - s,55,9:21 - s
58,Gary Fitzpatrick,484,131,18:16 - s,129,136 reps - s,44,178 reps - s,117,206 reps - s,63,9:33 - s
59,Kevin Mandarino,488,120,17:55 - s,67,157 reps - s,59,154 reps - s,84,216 reps - s,158,11:45 - s
60,Garth Roberts,491,81,17:00 - s,108,139 reps - s,108,118 reps - s,38,231 reps - s,156,11:42 - s
60,Brady Patterson,491,116,17:52 - s,89,143 reps - s,39,180 reps - s,136,203 reps - s,111,10:29 - s
62,Trevor Lewis,493,108,17:35 - s,44,169 reps - s,272,67 reps - s,6,259 reps - s,63,9:33 - s
63,Jase Petersen,504,205,19:28 - s,74,151 reps - s,47,168 reps - s,101,210 reps - s,77,9:47 - s
64,Roger Parenteau,510,115,17:50 - s,138,133 reps - s,119,107 reps - s,87,215 reps - s,51,9:15 - s
65,Mark Goldstone,516,228,19:53 - s,69,154 reps - s,60,154 reps - s,91,212 reps - s,68,9:37 - s
66,Joel Mryglod,527,136,18:22 - s,95,141 reps - s,124,106 reps - s,82,216 reps - s,90,9:59 - s
67,Sheldon Mathies,528,75,16:57 - s,46,168 reps - s,207,83 reps - s,159,199 reps - s,41,8:53 - s
68,Craig Malin,531,144,18:28 - s,186,119 reps - s,78,131 reps - s,65,220 reps - s,58,9:28 - s
69,Adam Solie,537,298,213 reps - s,54,163 reps - s,64,141 reps - s,100,210 reps - s,21,8:06 - s
70,Dean Jenkinson,539,176,19:01 - s,34,174 reps - s,83,131 reps - s,158,200 reps - s,88,9:58 - s
71,Jordan Birch,542,25,14:50 - s,111,139 reps - s,298,58 reps - s,54,225 reps - s,54,9:20 - s
72,Ryan Staal,543,116,17:52 - s,68,154 reps - s,18,23:37 - s,184,197 reps - s,157,11:43 - s
72,Matt Bouffard,543,34,15:27 - s,205,116 reps - s,159,95 reps - s,42,230 reps - s,103,10:17 - s
74,Antonio Alarcon Roman,549,31,15:21 - s,56,162 reps - s,223,80 reps - s,66,220 reps - s,173,12:06 - s
75,Scott Bussian,554,147,18:30 - s,116,137 reps - s,173,94 reps - s,73,219 reps - s,45,8:58 - s
76,Jamie Swaile,556,139,18:23 - s,127,136 reps - s,13,22:09 - s,252,184 reps - s,25,8:10 - s
77,Alex Buttigieg,560,54,16:21 - s,280,94 reps - s,132,104 reps - s,58,223 reps - s,36,8:44 - s
78,Michael Duke,561,53,16:20 - s,155,127 reps - s,131,104 reps - s,94,211 reps - s,128,10:56 - s
79,Stephen Dyck,565,81,17:00 - s,414,0,57,154 reps - s,7,258 reps - s,6,7:00 - s
80,John Loder,571,96,17:19 - s,21,192 reps - s,273,67 reps - s,34,233 reps - s,147,11:21 - s
81,Angus Maclean,576,238,19:57 - s,161,125 reps - s,34,191 reps - s,61,221 reps - s,82,9:49 - s
82,Munny Munro,577,93,17:17 - s,47,167 reps - s,219,82 reps - s,185,197 reps - s,33,8:39 - s
83,Dave Longmore,579,120,17:55 - s,84,144 reps - s,143,104 reps - s,127,205 reps - s,105,10:20 - s
84,Omari Aldridge,599,40,15:53 - s,52,165 reps - s,202,92 reps - s,129,205 reps - s,176,12:09 - s
85,Rick Golding,601,107,17:34 - s,85,143 reps - s,69,141 reps - s,209,193 reps - s,131,11:00 - s
86,Greg Rapson,611,276,217 reps - s,77,149 reps - s,8,20:58 - s,63,220 reps - s,187,12:26 - s
87,Paul Van Zyderveld,618,127,18:12 - s,59,162 reps - s,186,93 reps - s,116,206 reps - s,130,10:59 - s
88,Trevor Handford,619,75,16:57 - s,414,0,94,129 reps - s,9,254 reps - s,27,8:13 - s
89,Aiden Kohut,620,97,17:21 - s,9,214 reps - s,32,191 reps - s,123,205 reps - s,359,0
90,Brian Richardson,621,70,16:50 - s,217,115 reps - s,206,84 reps - s,26,240 reps - s,102,10:16 - s
90,Calvin Barrett,621,86,17:08 - s,199,117 reps - s,209,83 reps - s,96,211 reps - s,31,8:22 - s
92,Kevin Kelly,622,101,17:28 - s,130,136 reps - s,283,66 reps - s,23,241 reps - s,85,9:50 - s
93,Curtis Madley,623,78,16:59 - s,225,113 reps - s,187,93 reps - s,22,241 reps - s,111,10:29 - s
94,Greg Gubbe,627,262,220 reps - s,90,142 reps - s,175,94 reps - s,27,240 reps - s,73,9:44 - s
95,Adam Labrecque,635,77,16:58 - s,40,170 reps - s,295,59 reps - s,125,205 reps - s,98,10:08 - s
96,Jackson Jane,636,85,17:06 - s,80,148 reps - s,359,43 reps - s,95,211 reps - s,17,8:01 - s
97,Byron Houston,646,213,19:38 - s,75,151 reps - s,190,93 reps - s,92,212 reps - s,76,9:46 - s
98,Gordon Asmundson,648,254,222 reps - s,221,114 reps - s,36,191 reps - s,76,217 reps - s,61,9:30 - s
99,John Witiluk,649,198,19:26 - s,241,112 reps - s,81,131 reps - s,71,220 reps - s,58,9:28 - s
100,Alexey Budich,652,206,19:30 - s,86,143 reps - s,98,129 reps - s,149,201 reps - s,113,10:30 - s
101,Gurinder Boparai,681,110,17:41 - s,341,79 reps - s,101,120 reps - s,47,229 reps - s,82,9:49 - s
102,Brian Fedyshen,686,95,17:18 - s,182,120 reps - s,90,130 reps - s,171,198 reps - s,148,11:22 - s
103,Roger Hall,688,183,19:11 - s,152,128 reps - s,104,119 reps - s,183,197 reps - s,66,9:34 - s
104,Adam Nalepa,689,128,18:13 - s,38,172 reps - s,372,43 reps - s,55,225 reps - s,96,10:06 - s
105,Andrew Weir,693,72,16:54 - s,60,162 reps - s,63,142 reps - s,383,0,115,10:35 - s
105,Nick Hildebrand,693,265,219 reps - s,98,141 reps - s,79,131 reps - s,67,220 reps - s,184,12:22 - s
107,Pook-Ping Yao,694,286,215 reps - s,154,128 reps - s,55,155 reps - s,155,200 reps - s,44,8:57 - s
108,Peter Jokan,709,23,14:46 - s,61,162 reps - s,167,94 reps - s,99,210 reps - s,359,0
109,Drew Futcher,719,148,18:31 - s,209,116 reps - s,97,129 reps - s,143,201 reps - s,122,10:52 - s
110,Jeff Burtch,731,194,19:25 - s,259,105 reps - s,108,118 reps - s,103,210 reps - s,67,9:35 - s
110,Denis Ferreira,731,153,18:36 - s,118,137 reps - s,71,141 reps - s,254,183 reps - s,135,11:07 - s
110,Todd Weimer,731,187,19:15 - s,125,136 reps - s,133,104 reps - s,172,198 reps - s,114,10:31 - s
113,Justin Thebeau,732,102,17:29 - s,48,166 reps - s,149,99 reps - s,251,184 reps - s,182,12:20 - s
113,Collin Cole,732,214,19:39 - s,130,136 reps - s,213,82 reps - s,88,215 reps - s,87,9:52 - s
115,Dallas Moore,734,68,16:49 - s,123,136 reps - s,10,21:22 - s,174,197 reps - s,359,0
116,Matt Dai,737,74,16:56 - s,49,165 reps - s,391,0,28,238 reps - s,195,12:44 - s
117,Bernie Primbs,746,57,16:26 - s,175,122 reps - s,208,83 reps - s,173,198 reps - s,133,11:03 - s
118,Robert Southam,747,198,19:26 - s,87,143 reps - s,151,97 reps - s,191,195 reps - s,120,10:42 - s
119,Jordan Ozcan,756,12,14:10 - s,321,85 reps - s,35,191 reps - s,383,0,5,6:48 - s
120,Shawn Loughren,757,144,18:28 - s,327,83 reps - s,48,168 reps - s,202,194 reps - s,36,8:44 - s
120,Bruce Kent,757,70,16:50 - s,298,89 reps - s,96,129 reps - s,186,196 reps - s,107,10:24 - s
122,Kerim Ozcan,758,164,18:48 - s,133,136 reps - s,203,91 reps - s,59,222 reps - s,199,12:52 - s
123,Ray Brittain,760,141,18:25 - s,141,132 reps - s,228,80 reps - s,157,200 reps - s,93,10:03 - s
124,Johnathan Noyes,769,247,224 reps - s,357,78 reps - s,17,23:27 - s,113,207 reps - s,35,8:42 - s
125,Lee Peacock,771,100,17:22 - s,111,139 reps - s,375,41 reps - s,35,233 reps - s,150,11:26 - s
