Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
1,Miguel Gallaga,60,21,14:55 - s,11,200 reps - s,19,191 reps - s,2,275 reps - s,7,7:11 - s
2,Riley Calanchini,79,17,14:48 - s,12,200 reps - s,20,191 reps - s,22,247 reps - s,8,7:12 - s
3,Al Thielemann,89,30,15:26 - s,26,184 reps - s,18,191 reps - s,1,277 reps - s,14,7:39 - s
4,Greg Franks,97,51,16:23 - s,13,199 reps - s,21,191 reps - s,6,262 reps - s,6,7:06 - s
5,Roger Kennedy,114,38,15:48 - s,2,210 reps - s,68,154 reps - s,3,275 reps - s,3,6:55 - s
6,Ben Nysse,120,3,13:44 - s,21,191 reps - s,61,155 reps - s,8,256 reps - s,27,8:17 - s
7,Bill Marshall,123,94,17:20 - s,10,201 reps - s,12,23:20 - s,4,266 reps - s,3,6:55 - s
8,Wade Malesich,132,26,15:11 - s,33,179 reps - s,31,178 reps - s,12,253 reps - s,30,8:27 - s
9,Aaron Reel,141,57,16:27 - s,25,187 reps - s,14,215 reps - s,29,244 reps - s,16,7:47 - s
10,Richard DiPatri,196,8,14:29 - s,27,182 reps - s,123,130 reps - s,20,248 reps - s,18,7:51 - s
11,Andre Herrero,218,5,14:07 - s,3,209 reps - s,186,107 reps - s,19,249 reps - s,5,7:03 - s
12,Max Prophet,245,14,14:44 - s,1,215 reps - s,27,191 reps - s,128,212 reps - s,75,9:30 - s
13,Brandon Kluzniak,267,15,14:45 - s,47,175 reps - s,168,117 reps - s,16,250 reps - s,21,7:58 - s
14,Bryan Wood,269,79,17:04 - s,61,170 reps - s,10,22:30 - s,91,220 reps - s,28,8:20 - s
15,Martin DuSold,281,71,16:55 - s,42,177 reps - s,67,154 reps - s,65,231 reps - s,36,8:36 - s
16,Kevin Kuhia,284,76,17:01 - s,150,142 reps - s,15,203 reps - s,11,254 reps - s,32,8:29 - s
17,David Sagan,303,73,16:59 - s,89,162 reps - s,77,142 reps - s,53,235 reps - s,11,7:29 - s
