Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
55,Adam Heard,629,85,14:49 - s,75,202 reps - s,62,21:59 - s,290,222 reps - s,117,8:22 - s
56,Russ Riberto,632,169,15:48 - s,154,179 reps - s,200,167 reps - s,80,250 reps - s,29,7:15 - s
57,Joshua Parris,645,161,15:41 - s,42,212 reps - s,339,142 reps - s,10,282 reps - s,93,8:07 - s
57,Seth Hennrich,645,282,16:48 - s,93,196 reps - s,89,215 reps - s,150,240 reps - s,31,7:17 - s
59,Joe Huffman,665,19,13:16 - s,152,179 reps - s,222,166 reps - s,147,240 reps - s,125,8:27 - s
60,Mike Olsen,689,341,17:16 - s,94,196 reps - s,93,215 reps - s,130,242 reps - s,31,7:17 - s
61,Patrick Johnson,703,96,14:58 - s,252,169 reps - s,196,167 reps - s,14,276 reps - s,145,8:35 - s
62,Michael Smith,717,333,17:12 - s,142,180 reps - s,69,22:26 - s,82,250 reps - s,91,8:06 - s
63,Michael Moore,719,52,14:11 - s,103,196 reps - s,148,191 reps - s,128,243 reps - s,288,9:38 - s
64,Bjorn Helgoe,725,492,18:07 - s,34,215 reps - s,8,16:32 - s,143,240 reps - s,48,7:35 - s
65,Travis Kinkade,744,380,17:28 - s,196,174 reps - s,86,23:53 - s,16,276 reps - s,66,7:50 - s
66,Samuel Bray,751,24,13:28 - s,115,190 reps - s,422,131 reps - s,114,244 reps - s,76,7:59 - s
67,Mike Matura,756,190,15:59 - s,87,198 reps - s,250,155 reps - s,113,244 reps - s,116,8:21 - s
68,Nate J Miller,775,44,14:04 - s,474,141 reps - s,1,11:08 - s,9,283 reps - s,247,9:21 - s
69,Brandon Dachel,783,531,18:21 - s,80,200 reps - s,108,203 reps - s,37,263 reps - s,27,7:10 - s
70,Wade Ralph,786,107,15:05 - s,225,171 reps - s,164,179 reps - s,161,238 reps - s,129,8:28 - s
71,Roman Juarez,796,215,16:21 - s,271,165 reps - s,103,203 reps - s,118,244 reps - s,89,8:05 - s
72,Justin Hill,797,277,16:46 - s,257,168 reps - s,23,18:07 - s,105,246 reps - s,135,8:31 - s
73,Cam Belisle,798,155,15:38 - s,279,164 reps - s,282,154 reps - s,26,268 reps - s,56,7:42 - s
74,Brad Lewis,801,64,14:25 - s,50,209 reps - s,538,118 reps - s,40,262 reps - s,109,8:15 - s
75,Mark Kovacevich,819,158,15:40 - s,200,173 reps - s,261,154 reps - s,75,251 reps - s,125,8:27 - s
76,Rob Edquist,832,122,15:17 - s,202,173 reps - s,216,166 reps - s,160,238 reps - s,132,8:30 - s
77,Zachary Wendland,833,81,14:47 - s,32,216 reps - s,17,17:33 - s,254,226 reps - s,449,10:31 - s
78,Brian McKernan,843,392,17:32 - s,105,194 reps - s,187,178 reps - s,135,241 reps - s,24,7:08 - s
79,Aaron Freitag,844,161,15:41 - s,114,191 reps - s,251,155 reps - s,169,237 reps - s,149,8:37 - s
80,Boston Small,848,44,14:04 - s,12,230 reps - s,561,117 reps - s,162,238 reps - s,69,7:56 - s
