Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
54,Todd Rutledge,574,223,18:05 - s,98,166 reps - s,17,23:47 - s,217,207 reps - s,19,7:54 - s
55,Carson Johns,579,141,16:57 - s,115,162 reps - s,143,131 reps - s,90,229 reps - s,90,9:18 - s
56,Craig Ingram,593,98,16:25 - s,82,170 reps - s,217,107 reps - s,126,219 reps - s,70,8:57 - s
57,Shane Vandyk,594,37,14:53 - s,44,178 reps - s,246,105 reps - s,18,254 reps - s,249,11:14 - s
58,Guy Normand,598,127,16:45 - s,86,170 reps - s,275,104 reps - s,50,242 reps - s,60,8:43 - s
59,Adam Bezzina,605,56,15:25 - s,96,167 reps - s,212,107 reps - s,140,215 reps - s,101,9:26 - s
60,Patrick Keeves,616,169,17:15 - s,236,134 reps - s,164,129 reps - s,5,275 reps - s,42,8:26 - s
61,Arnaud Reuziault,624,109,16:35 - s,341,120 reps - s,34,191 reps - s,83,231 reps - s,57,8:41 - s
61,Patrick Chartrand,624,122,16:43 - s,254,130 reps - s,66,154 reps - s,109,222 reps - s,73,9:02 - s
63,Joseph Haddad,627,63,15:36 - s,277,126 reps - s,199,117 reps - s,24,252 reps - s,64,8:50 - s
64,Iain Greensmith,633,433,222 reps - s,31,192 reps - s,49,167 reps - s,84,231 reps - s,36,8:19 - s
64,Nicholas Tamburi,633,141,16:57 - s,43,179 reps - s,133,131 reps - s,215,207 reps - s,101,9:26 - s
66,Francois Litalien,634,170,17:16 - s,172,141 reps - s,195,117 reps - s,38,247 reps - s,59,8:42 - s
67,Hubert Larochelle,637,303,19:03 - s,83,170 reps - s,128,134 reps - s,81,233 reps - s,42,8:26 - s
68,Sebastien Rheault,641,214,18:00 - s,127,156 reps - s,38,191 reps - s,173,210 reps - s,89,9:17 - s
69,Mark Guinn,643,125,16:44 - s,97,167 reps - s,139,131 reps - s,190,209 reps - s,92,9:20 - s
70,Marc Gervais,658,34,14:47 - s,35,189 reps - s,534,58 reps - s,49,243 reps - s,6,7:13 - s
71,Reid Thompson,659,241,18:19 - s,89,170 reps - s,74,143 reps - s,239,205 reps - s,16,7:42 - s
72,Alex Pelletier,674,151,17:04 - s,123,157 reps - s,103,141 reps - s,157,213 reps - s,140,9:57 - s
73,Dan Kennedy,677,226,18:09 - s,141,149 reps - s,211,107 reps - s,85,230 reps - s,14,7:40 - s
