Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
54,Carlos Alberto Neto,808,52,13:38 - s,487,175 reps - s,164,191 reps - s,32,275 reps - s,73,7:27 - s
55,Matheus Gomes,812,36,13:20 - s,234,196 reps - s,131,203 reps - s,220,249 reps - s,191,8:07 - s
56,Renato Camargo,823,45,13:27 - s,165,204 reps - s,328,166 reps - s,212,249 reps - s,73,7:27 - s
57,Pedro Sanchez,844,121,14:16 - s,54,217 reps - s,346,166 reps - s,139,255 reps - s,184,8:06 - s
58,Hernan Suarez,846,121,14:16 - s,193,202 reps - s,387,155 reps - s,74,263 reps - s,71,7:25 - s
59,Tiago Couto,865,19,12:57 - s,94,210 reps - s,394,155 reps - s,214,249 reps - s,144,7:55 - s
60,Thiago Pigo,869,212,14:57 - s,31,227 reps - s,84,22:17 - s,454,234 reps - s,88,7:33 - s
61,Alan Ferraz,882,158,14:37 - s,146,204 reps - s,239,178 reps - s,52,267 reps - s,287,8:33 - s
62,Jose Santiago,884,17,12:56 - s,324,183 reps - s,467,154 reps - s,64,264 reps - s,12,6:30 - s
63,Itaraiaci Delfino De Abreu Junior,910,313,15:24 - s,149,204 reps - s,122,215 reps - s,135,255 reps - s,191,8:07 - s
64,Cesar Augusto Euzebio,911,58,13:43 - s,127,208 reps - s,343,166 reps - s,168,251 reps - s,215,8:16 - s
65,Lus Garcia,931,222,14:59 - s,114,209 reps - s,130,203 reps - s,281,244 reps - s,184,8:06 - s
66,Carlos Ranero,935,217,14:58 - s,47,220 reps - s,430,154 reps - s,161,252 reps - s,80,7:31 - s
67,Pablo Martinez,963,222,14:59 - s,375,180 reps - s,153,192 reps - s,191,250 reps - s,22,6:45 - s
68,Tadeo Espinola,976,176,14:43 - s,49,219 reps - s,454,154 reps - s,75,262 reps - s,222,8:18 - s
69,Alessandro Jesus Da Silva,990,559,16:25 - s,15,238 reps - s,305,167 reps - s,48,269 reps - s,63,7:20 - s
70,Leonardo Sebiane Serrano,996,36,13:20 - s,165,204 reps - s,426,154 reps - s,20,277 reps - s,349,8:50 - s
71,Camilo Ayala,1000,66,13:49 - s,159,204 reps - s,333,166 reps - s,271,245 reps - s,171,8:02 - s
72,Fabio Hatiya,1003,206,14:55 - s,527,174 reps - s,19,16:49 - s,195,250 reps - s,56,7:17 - s
73,Santiago Lamas,1011,33,13:11 - s,57,216 reps - s,257,178 reps - s,282,244 reps - s,382,8:57 - s
