Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
55,Chris Madron,563,45,15:44 - s,55,175 reps - s,126,131 reps - s,111,216 reps - s,226,11:46 - s
56,John Touchette,583,142,17:45 - s,114,159 reps - s,217,103 reps - s,64,229 reps - s,46,8:45 - s
57,Franck Marchis,592,179,18:17 - s,81,168 reps - s,65,154 reps - s,172,206 reps - s,95,9:43 - s
58,Wayne Hung,599,197,18:33 - s,94,164 reps - s,60,156 reps - s,170,206 reps - s,78,9:29 - s
59,David Fahn,611,121,17:27 - s,139,146 reps - s,168,107 reps - s,142,210 reps - s,41,8:31 - s
60,B. Mitchell Houle,612,85,16:41 - s,82,168 reps - s,12,21:36 - s,259,196 reps - s,174,10:57 - s
61,Gary McCrea,614,230,18:59 - s,54,175 reps - s,26,203 reps - s,162,207 reps - s,142,10:24 - s
62,Brian Stefano,615,57,16:00 - s,104,162 reps - s,142,129 reps - s,104,219 reps - s,208,11:27 - s
63,Ryan Bagley,619,100,17:07 - s,134,146 reps - s,167,107 reps - s,159,208 reps - s,59,9:12 - s
64,Jeff Lee,629,102,17:09 - s,144,146 reps - s,180,106 reps - s,39,239 reps - s,164,10:53 - s
65,Douglas Hayden,632,203,18:36 - s,107,160 reps - s,137,129 reps - s,96,220 reps - s,89,9:37 - s
66,Sergio Monsalve,636,42,15:39 - s,34,196 reps - s,132,130 reps - s,420,175 reps - s,8,7:32 - s
67,Adrian Moreno,646,12,14:04 - s,386,113 reps - s,170,107 reps - s,58,231 reps - s,20,7:59 - s
68,Sunil Mirpuri,655,117,17:25 - s,198,139 reps - s,76,154 reps - s,167,207 reps - s,97,9:44 - s
69,Rafael Padilla,669,39,15:31 - s,191,139 reps - s,124,131 reps - s,139,210 reps - s,176,10:59 - s
70,Christian Soto,671,295,19:45 - s,148,144 reps - s,55,166 reps - s,158,208 reps - s,15,7:50 - s
71,Alan lam,673,335,222 reps - s,86,166 reps - s,45,174 reps - s,153,208 reps - s,54,9:03 - s
72,Scot Brew,676,119,17:26 - s,29,197 reps - s,260,94 reps - s,49,235 reps - s,219,11:39 - s
73,Frantisek Kolar,679,176,18:15 - s,90,165 reps - s,204,104 reps - s,100,220 reps - s,109,9:53 - s
74,Brandon Moody,686,132,17:32 - s,53,175 reps - s,189,105 reps - s,194,203 reps - s,118,10:01 - s
75,Tony Gaeta,688,41,15:38 - s,235,136 reps - s,298,92 reps - s,55,232 reps - s,59,9:12 - s
76,Nathaniel Mershon,689,68,16:12 - s,185,140 reps - s,73,154 reps - s,229,199 reps - s,134,10:18 - s
77,Jeremiah Bass,691,331,223 reps - s,77,170 reps - s,81,143 reps - s,85,221 reps - s,117,9:59 - s
78,Phillip Ma,693,93,16:53 - s,181,141 reps - s,145,120 reps - s,40,239 reps - s,234,11:59 - s
79,Craig Kavales,697,114,17:16 - s,339,119 reps - s,158,117 reps - s,44,237 reps - s,42,8:32 - s
80,Matthew Dupea,703,245,19:13 - s,123,151 reps - s,43,178 reps - s,197,202 reps - s,95,9:43 - s
81,Daemon Duran,705,97,17:01 - s,39,180 reps - s,42,178 reps - s,255,196 reps - s,272,12:35 - s
82,Frederick Hawkins,707,81,16:38 - s,180,141 reps - s,270,93 reps - s,31,244 reps - s,145,10:28 - s
83,Ryan Friedrich,715,140,17:43 - s,184,140 reps - s,214,104 reps - s,88,220 reps - s,89,9:37 - s
84,Tony Knight,723,136,17:34 - s,75,170 reps - s,147,119 reps - s,272,193 reps - s,93,9:40 - s
85,Duncan Pickard,725,137,17:36 - s,176,141 reps - s,271,93 reps - s,67,227 reps - s,74,9:24 - s
86,Blake Bittner,730,117,17:25 - s,63,172 reps - s,224,100 reps - s,178,205 reps - s,148,10:29 - s
87,Brian Senteney,738,246,19:14 - s,280,126 reps - s,132,130 reps - s,37,240 reps - s,43,8:36 - s
88,Glen Prieto,742,130,17:31 - s,87,166 reps - s,146,119 reps - s,210,202 reps - s,169,10:55 - s
89,Cleo Barretto,744,74,16:30 - s,13,207 reps - s,87,142 reps - s,50,235 reps - s,520,0
90,Doug Frisbie,754,149,17:52 - s,179,141 reps - s,223,100 reps - s,65,229 reps - s,138,10:19 - s
91,Paul Nash,755,110,17:15 - s,58,175 reps - s,16,23:12 - s,51,235 reps - s,520,0
92,Chris Pollard,756,300,19:46 - s,330,120 reps - s,59,163 reps - s,22,249 reps - s,45,8:43 - s
92,Eric Bower,756,60,16:07 - s,116,158 reps - s,319,81 reps - s,121,214 reps - s,140,10:22 - s
94,Thuy Duong,758,274,19:31 - s,202,138 reps - s,17,23:17 - s,103,219 reps - s,162,10:51 - s
95,Quinn Tomlin,761,194,18:32 - s,195,139 reps - s,56,166 reps - s,125,212 reps - s,191,11:09 - s
96,Carter Gawron,763,53,15:53 - s,192,139 reps - s,250,95 reps - s,112,216 reps - s,156,10:43 - s
96,Christian Mojica,763,125,17:29 - s,144,146 reps - s,152,118 reps - s,227,200 reps - s,115,9:58 - s
98,Carlo Nocon,781,125,17:29 - s,95,163 reps - s,198,105 reps - s,252,197 reps - s,111,9:54 - s
99,David Hashisaka,782,319,19:59 - s,174,141 reps - s,126,131 reps - s,74,225 reps - s,89,9:37 - s
100,Randy Reyes,792,70,16:19 - s,256,130 reps - s,306,83 reps - s,54,232 reps - s,106,9:50 - s
101,Nick Gilligan,797,81,16:38 - s,30,197 reps - s,575,0,84,221 reps - s,27,8:14 - s
102,John Ireland,805,318,19:57 - s,204,138 reps - s,62,155 reps - s,70,226 reps - s,151,10:37 - s
103,Herald Hernandez,816,218,18:48 - s,102,162 reps - s,97,141 reps - s,276,193 reps - s,123,10:07 - s
103,Roland Castro,816,166,18:06 - s,167,141 reps - s,121,131 reps - s,136,210 reps - s,226,11:46 - s
105,Clint OConnor,833,158,18:01 - s,99,162 reps - s,151,118 reps - s,87,220 reps - s,338,14:04 - s
106,Seth Tantuico,834,253,19:19 - s,126,149 reps - s,91,142 reps - s,294,191 reps - s,70,9:18 - s
107,Reginaldo Gamboa,837,28,15:00 - s,59,174 reps - s,188,106 reps - s,42,238 reps - s,520,0
108,Andre Moore,844,413,213 reps - s,97,163 reps - s,19,23:42 - s,181,205 reps - s,134,10:18 - s
109,Derek Russell,858,171,18:11 - s,140,146 reps - s,195,105 reps - s,96,220 reps - s,256,12:15 - s
110,Kyle Orth,864,30,15:08 - s,4,224 reps - s,241,96 reps - s,69,226 reps - s,520,0
111,Andy Selby,865,14,14:20 - s,566,80 reps - s,157,117 reps - s,107,217 reps - s,21,8:00 - s
111,Rafike Abdo,865,74,16:30 - s,42,180 reps - s,67,154 reps - s,576,0,106,9:50 - s
113,Ryan Gee,892,179,18:17 - s,304,122 reps - s,206,104 reps - s,62,230 reps - s,141,10:23 - s
114,Chris Klein,893,222,18:51 - s,289,124 reps - s,238,96 reps - s,60,230 reps - s,84,9:34 - s
114,Xavier Bamberger,893,106,17:11 - s,400,112 reps - s,90,142 reps - s,165,207 reps - s,132,10:17 - s
116,Clinton Yada,908,189,18:28 - s,47,177 reps - s,292,92 reps - s,179,205 reps - s,201,11:16 - s
117,Talbot Harty,914,268,19:26 - s,158,142 reps - s,258,94 reps - s,110,217 reps - s,120,10:05 - s
118,Jon Clark,918,56,15:58 - s,197,139 reps - s,202,104 reps - s,240,198 reps - s,223,11:43 - s
119,Jacob MacDonell,923,26,14:54 - s,69,170 reps - s,218,103 reps - s,576,0,34,8:21 - s
120,Andrew Macrae,933,362,218 reps - s,74,170 reps - s,131,130 reps - s,247,197 reps - s,119,10:03 - s
121,Dan Rosenbaum,935,205,18:37 - s,178,141 reps - s,107,140 reps - s,205,202 reps - s,240,12:02 - s
122,Jeffrey Anderson,937,246,19:14 - s,226,136 reps - s,191,105 reps - s,105,218 reps - s,169,10:55 - s
123,Christopher Egner,941,40,15:32 - s,501,89 reps - s,35,191 reps - s,106,217 reps - s,259,12:19 - s
123,Tim Howard,941,110,17:15 - s,235,136 reps - s,100,141 reps - s,206,202 reps - s,290,12:49 - s
125,Matt Bray,942,116,17:19 - s,653,0,31,191 reps - s,113,215 reps - s,29,8:17 - s
126,Isaiah Garcia,945,21,14:39 - s,56,175 reps - s,173,106 reps - s,175,205 reps - s,520,0
127,Robert Portillo,962,148,17:51 - s,196,139 reps - s,98,141 reps - s,423,174 reps - s,97,9:44 - s
128,Bill Garvey,969,278,19:36 - s,193,139 reps - s,207,104 reps - s,132,211 reps - s,159,10:45 - s
129,Wes Winter,971,132,17:32 - s,284,125 reps - s,285,92 reps - s,217,201 reps - s,53,9:02 - s
130,Jim Puntonio,973,161,18:04 - s,137,146 reps - s,517,46 reps - s,20,250 reps - s,138,10:19 - s
131,Don Lee,981,58,16:03 - s,46,177 reps - s,557,43 reps - s,77,224 reps - s,243,12:03 - s
131,Sean Rockwell,981,81,16:38 - s,117,157 reps - s,575,0,134,210 reps - s,74,9:24 - s
133,JoJo Fanucchi,983,67,16:11 - s,176,141 reps - s,359,70 reps - s,256,196 reps - s,125,10:09 - s
134,Aaron Aseltine,986,377,217 reps - s,48,176 reps - s,211,104 reps - s,230,199 reps - s,120,10:05 - s
135,Tom Wierzchon,1004,210,18:41 - s,133,146 reps - s,265,94 reps - s,163,207 reps - s,233,11:56 - s
136,Andrew Padilla,1009,306,19:50 - s,325,120 reps - s,49,167 reps - s,109,217 reps - s,220,11:40 - s
137,Dennis Allen,1020,152,17:56 - s,222,136 reps - s,256,94 reps - s,108,217 reps - s,282,12:43 - s
138,Gary Levin,1024,221,18:50 - s,72,170 reps - s,575,0,135,210 reps - s,21,8:00 - s
139,Brendhan Green,1034,142,17:45 - s,234,136 reps - s,252,95 reps - s,166,207 reps - s,240,12:02 - s
140,Dave Ranker,1037,235,19:06 - s,237,136 reps - s,239,96 reps - s,117,215 reps - s,209,11:30 - s
141,Derrick Light,1041,256,19:20 - s,349,117 reps - s,89,142 reps - s,244,198 reps - s,103,9:49 - s
142,Ryan Perry,1044,383,216 reps - s,213,136 reps - s,176,106 reps - s,90,220 reps - s,182,11:03 - s
143,Eric Chang,1048,268,19:26 - s,171,141 reps - s,313,82 reps - s,145,210 reps - s,151,10:37 - s
144,Milad Odabaei,1052,125,17:29 - s,88,166 reps - s,219,103 reps - s,100,220 reps - s,520,0
145,Mike Chavez,1057,141,17:44 - s,115,158 reps - s,558,43 reps - s,71,225 reps - s,172,10:56 - s
146,Ian McRae,1062,489,200 reps - s,210,137 reps - s,112,137 reps - s,79,223 reps - s,172,10:56 - s
147,Shawn Tate,1064,511,195 reps - s,263,128 reps - s,109,138 reps - s,123,213 reps - s,58,9:10 - s
147,Tim Kelm,1064,90,16:48 - s,181,141 reps - s,344,70 reps - s,214,201 reps - s,235,12:00 - s
149,Jose Ayala,1066,496,198 reps - s,334,119 reps - s,80,143 reps - s,68,227 reps - s,88,9:36 - s
149,Harsh Chandolia,1066,323,20:00 - s,137,146 reps - s,148,119 reps - s,193,203 reps - s,265,12:23 - s
151,Huachao Chen,1068,71,16:22 - s,286,125 reps - s,575,0,72,225 reps - s,64,9:15 - s
152,Brian Duff,1069,213,18:45 - s,128,147 reps - s,371,69 reps - s,129,211 reps - s,228,11:48 - s
153,John Lercara,1072,302,19:48 - s,68,170 reps - s,130,130 reps - s,52,234 reps - s,520,0
153,Steve Sakata,1072,523,192 reps - s,141,146 reps - s,96,141 reps - s,127,212 reps - s,185,11:05 - s
155,Justin Hart,1075,261,19:22 - s,274,128 reps - s,92,142 reps - s,239,198 reps - s,209,11:30 - s
156,Jeff Beckman,1076,323,20:00 - s,292,124 reps - s,141,129 reps - s,191,203 reps - s,129,10:14 - s
157,Nicholas Sanchez,1079,72,16:28 - s,38,181 reps - s,296,92 reps - s,576,0,97,9:44 - s
158,Garrett Ridley,1080,762,0,119,154 reps - s,114,135 reps - s,30,245 reps - s,55,9:04 - s
159,Rob Mayeda,1104,275,19:32 - s,118,156 reps - s,294,92 reps - s,148,209 reps - s,269,12:26 - s
160,Charles Hodges,1119,311,19:54 - s,352,117 reps - s,94,142 reps - s,236,198 reps - s,126,10:10 - s
161,Tim Johnson,1121,35,15:16 - s,308,122 reps - s,244,95 reps - s,14,252 reps - s,520,0
162,Michael Simmons,1126,271,19:27 - s,206,138 reps - s,575,0,15,251 reps - s,59,9:12 - s
163,Jose Valle,1136,418,213 reps - s,171,141 reps - s,115,134 reps - s,231,199 reps - s,201,11:16 - s
164,Nick Perdigao,1150,155,17:57 - s,300,123 reps - s,95,141 reps - s,80,223 reps - s,520,0
165,Joe Moreno,1164,89,16:47 - s,159,142 reps - s,521,45 reps - s,124,213 reps - s,271,12:31 - s
166,Tyler Cefalu,1169,306,19:50 - s,122,152 reps - s,83,143 reps - s,138,210 reps - s,520,0
167,Jim Drain,1184,119,17:26 - s,273,128 reps - s,575,0,89,220 reps - s,128,10:12 - s
168,Jonathan Goodwin,1197,158,18:01 - s,103,162 reps - s,199,104 reps - s,408,176 reps - s,329,13:41 - s
169,Damon Gobble,1200,188,18:27 - s,286,125 reps - s,284,92 reps - s,198,202 reps - s,244,12:04 - s
170,Thomas Fontana,1202,155,17:57 - s,209,137 reps - s,193,105 reps - s,576,0,69,9:17 - s
171,Greg King,1203,277,19:33 - s,127,148 reps - s,7,19:52 - s,576,0,216,11:35 - s
172,David Hilburn,1204,436,211 reps - s,165,141 reps - s,375,69 reps - s,120,214 reps - s,108,9:52 - s
173,Gianni Nola,1210,49,15:49 - s,24,203 reps - s,477,55 reps - s,576,0,84,9:34 - s
173,Cliff Rawls,1210,287,19:42 - s,75,170 reps - s,264,94 reps - s,257,196 reps - s,327,13:29 - s
175,Don Rigler,1211,110,17:15 - s,163,141 reps - s,553,43 reps - s,209,202 reps - s,176,10:59 - s
176,Dave Kruzeniski,1214,545,188 reps - s,194,139 reps - s,212,104 reps - s,154,208 reps - s,109,9:53 - s
177,Justin Navarro,1215,121,17:27 - s,425,108 reps - s,27,203 reps - s,122,214 reps - s,520,0
178,Michael Xiong,1216,762,0,147,145 reps - s,39,178 reps - s,157,208 reps - s,111,9:54 - s
179,Christian Ortez,1220,587,180 reps - s,203,138 reps - s,203,104 reps - s,45,237 reps - s,182,11:03 - s
180,Tim Valadez,1223,386,216 reps - s,390,112 reps - s,50,167 reps - s,334,186 reps - s,63,9:13 - s
181,Joe Henry,1228,213,18:45 - s,42,180 reps - s,156,117 reps - s,297,190 reps - s,520,0
182,David Kim,1238,144,17:48 - s,89,165 reps - s,269,94 reps - s,576,0,160,10:46 - s
183,Trey Teller,1240,586,180 reps - s,257,130 reps - s,108,139 reps - s,186,204 reps - s,103,9:49 - s
184,John Weires,1241,228,18:54 - s,336,119 reps - s,226,98 reps - s,237,198 reps - s,214,11:32 - s
185,Carlos Fuenzalida,1243,184,18:24 - s,186,140 reps - s,308,83 reps - s,270,194 reps - s,295,12:55 - s
186,Ravi Teja Doddapaneni,1245,178,18:16 - s,313,122 reps - s,189,105 reps - s,215,201 reps - s,350,14:17 - s
187,Matt Soza,1249,488,200 reps - s,214,136 reps - s,234,96 reps - s,184,204 reps - s,129,10:14 - s
188,Mike Murphy,1251,161,18:04 - s,188,140 reps - s,378,68 reps - s,267,194 reps - s,257,12:16 - s
189,Rob Zwolinski,1256,353,219 reps - s,537,84 reps - s,196,105 reps - s,130,211 reps - s,40,8:30 - s
190,Baran Can,1260,227,18:53 - s,146,145 reps - s,135,129 reps - s,576,0,176,10:59 - s
191,Amal Ortega,1265,246,19:14 - s,135,146 reps - s,215,104 reps - s,149,209 reps - s,520,0
192,Wes Freuler,1270,160,18:03 - s,412,109 reps - s,222,100 reps - s,76,224 reps - s,400,15:38 - s
192,Alan Goodman,1270,301,19:47 - s,153,143 reps - s,575,0,92,220 reps - s,149,10:36 - s
194,Nicholas Loomis,1272,78,16:34 - s,6,218 reps - s,574,1 reps - s,207,202 reps - s,407,15:54 - s
195,David Anderson,1278,419,213 reps - s,250,132 reps - s,242,95 reps - s,176,205 reps - s,191,11:09 - s
196,Ben Edelhart,1281,389,215 reps - s,497,90 reps - s,52,166 reps - s,331,186 reps - s,12,7:45 - s
197,Joe LaVery,1284,107,17:12 - s,310,122 reps - s,310,83 reps - s,241,198 reps - s,316,13:16 - s
198,Nick Mangini,1290,386,216 reps - s,350,117 reps - s,88,142 reps - s,277,193 reps - s,189,11:08 - s
199,Logan Trudell,1302,121,17:27 - s,653,0,196,105 reps - s,168,207 reps - s,164,10:53 - s
200,Jordon Zentz,1306,395,215 reps - s,337,119 reps - s,9,20:20 - s,279,192 reps - s,286,12:46 - s
200,Ryan Jones,1306,445,210 reps - s,291,124 reps - s,58,163 reps - s,299,190 reps - s,213,11:31 - s
202,Manohar Bandaru,1307,264,19:24 - s,251,132 reps - s,391,67 reps - s,146,210 reps - s,255,12:13 - s
202,Marc Hollis,1307,224,18:52 - s,244,133 reps - s,247,95 reps - s,202,202 reps - s,390,15:12 - s
204,Richard Thompson,1313,189,18:28 - s,199,138 reps - s,339,71 reps - s,218,201 reps - s,368,14:41 - s
205,Minh Nguyen,1316,341,220 reps - s,225,136 reps - s,177,106 reps - s,447,166 reps - s,126,10:10 - s
206,Paul Kent,1321,179,18:17 - s,483,93 reps - s,180,106 reps - s,163,207 reps - s,316,13:16 - s
207,Eric Aring,1324,453,210 reps - s,290,124 reps - s,103,141 reps - s,344,185 reps - s,134,10:18 - s
208,Thomas Daurelio,1341,536,190 reps - s,245,133 reps - s,128,131 reps - s,223,200 reps - s,209,11:30 - s
209,Richard Cacal,1345,192,18:29 - s,173,141 reps - s,431,59 reps - s,429,172 reps - s,120,10:05 - s
210,Jp Abgrall,1346,401,214 reps - s,218,136 reps - s,300,86 reps - s,192,203 reps - s,235,12:00 - s
211,Eric Schlezinger,1348,448,210 reps - s,269,128 reps - s,154,117 reps - s,203,202 reps - s,274,12:38 - s
212,Ricky Mesa,1349,336,221 reps - s,442,106 reps - s,143,120 reps - s,262,195 reps - s,166,10:54 - s
213,Ryan Shepherd,1351,443,211 reps - s,233,136 reps - s,14,22:48 - s,141,210 reps - s,520,0
214,Steven Hartung,1354,201,18:35 - s,307,122 reps - s,575,0,86,221 reps - s,185,11:05 - s
215,Khamprasong Sayavong,1368,86,16:43 - s,330,120 reps - s,575,0,177,205 reps - s,200,11:15 - s
215,Paul Nelson,1368,359,218 reps - s,124,151 reps - s,307,83 reps - s,285,192 reps - s,293,12:54 - s
217,Adam Clemente,1370,51,15:51 - s,70,170 reps - s,153,117 reps - s,576,0,520,0
218,Erik Reindl,1375,232,19:00 - s,113,159 reps - s,365,69 reps - s,372,182 reps - s,293,12:54 - s
219,Sudhanshu Gaur,1379,327,224 reps - s,329,120 reps - s,228,97 reps - s,339,185 reps - s,156,10:43 - s
220,Johannes Wong,1382,168,18:09 - s,310,122 reps - s,349,70 reps - s,349,185 reps - s,206,11:22 - s
221,JIM O'REILLY,1384,422,213 reps - s,370,115 reps - s,113,135 reps - s,248,197 reps - s,231,11:54 - s
221,Cameron Ng,1384,323,20:00 - s,201,138 reps - s,289,92 reps - s,303,190 reps - s,268,12:25 - s
223,Devyn La Tulippe,1393,762,0,45,179 reps - s,41,178 reps - s,25,247 reps - s,520,0
224,Brian Barish,1395,205,18:37 - s,166,141 reps - s,485,53 reps - s,290,191 reps - s,249,12:07 - s
225,David Flores,1396,145,17:49 - s,320,121 reps - s,248,95 reps - s,459,164 reps - s,224,11:44 - s
226,Arturo Moroyoqui,1400,427,212 reps - s,152,143 reps - s,159,117 reps - s,356,184 reps - s,306,13:02 - s
227,Rodney Wade,1402,524,192 reps - s,346,118 reps - s,37,179 reps - s,342,185 reps - s,153,10:40 - s
228,Kevin Krogman,1403,197,18:33 - s,264,128 reps - s,171,107 reps - s,576,0,195,11:10 - s
229,Ryan Porter,1418,360,218 reps - s,155,143 reps - s,120,132 reps - s,263,195 reps - s,520,0
230,Tommy Freeman,1425,197,18:33 - s,70,170 reps - s,575,0,63,230 reps - s,520,0
