Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
54,Seungwook Oh,467,30,13:39 - s,105,175 reps - s,210,119 reps - s,65,247 reps - s,57,7:32 - s
55,Wangyu Heo,470,195,16:40 - s,106,175 reps - s,22,21:02 - s,49,250 reps - s,98,8:25 - s
56,Joon Young Kim,485,166,16:10 - s,134,172 reps - s,26,21:16 - s,109,232 reps - s,50,7:24 - s
57,Myeong Hyo Noh,487,58,14:27 - s,79,185 reps - s,259,107 reps - s,46,252 reps - s,45,7:17 - s
58,Koon Cho Teo,495,230,17:13 - s,120,174 reps - s,11,16:58 - s,23,265 reps - s,111,8:40 - s
59,Ruslan Musin,496,50,14:16 - s,78,185 reps - s,251,107 reps - s,25,264 reps - s,92,8:17 - s
60,Chulhyun PARk,516,164,16:08 - s,125,173 reps - s,94,162 reps - s,81,241 reps - s,52,7:27 - s
61,Nam Seongmin,526,10,11:41 - s,398,123 reps - s,85,166 reps - s,31,257 reps - s,2,5:49 - s
62,Gwangwon Go,545,171,16:16 - s,187,163 reps - s,30,22:20 - s,66,247 reps - s,91,8:16 - s
63,Choi Hyunho,550,16,12:49 - s,273,141 reps - s,112,154 reps - s,96,236 reps - s,53,7:29 - s
63,SeongHwan Kim,550,25,13:27 - s,32,211 reps - s,205,119 reps - s,246,206 reps - s,42,7:11 - s
65,Yongjin Kang,551,184,16:24 - s,200,162 reps - s,15,19:04 - s,138,226 reps - s,14,6:30 - s
66,Sunghwang Euh,556,96,15:16 - s,77,187 reps - s,208,119 reps - s,95,236 reps - s,80,8:08 - s
67,Yonghwan Park,576,192,16:34 - s,90,180 reps - s,135,141 reps - s,80,242 reps - s,79,8:07 - s
68,John Caro,588,275,17:48 - s,22,218 reps - s,173,130 reps - s,30,258 reps - s,88,8:14 - s
69,Jang Guin,603,32,13:44 - s,200,162 reps - s,221,117 reps - s,83,241 reps - s,67,7:52 - s
70,Hiroyuki Fukuda,605,39,14:03 - s,101,176 reps - s,296,105 reps - s,74,245 reps - s,95,8:22 - s
70,Mikey Best Jr,605,40,14:05 - s,93,180 reps - s,334,96 reps - s,48,252 reps - s,90,8:15 - s
72,Hakyoung Kim,624,124,15:35 - s,171,167 reps - s,140,141 reps - s,108,232 reps - s,81,8:09 - s
73,Artem Miroshkin,636,381,18:50 - s,114,175 reps - s,29,21:54 - s,40,255 reps - s,72,7:59 - s
74,James Torres,640,132,15:42 - s,69,195 reps - s,71,168 reps - s,186,216 reps - s,182,9:37 - s
75,Kostyantin Makarenko,641,69,14:41 - s,143,171 reps - s,316,104 reps - s,55,250 reps - s,58,7:34 - s
76,Matthew Pollard,643,292,17:55 - s,91,180 reps - s,54,191 reps - s,79,242 reps - s,127,8:53 - s
77,ian Cornelius Abundo,645,236,17:20 - s,71,190 reps - s,13,19:01 - s,160,220 reps - s,165,9:25 - s
78,Yongjun Cho,661,46,14:11 - s,67,196 reps - s,438,81 reps - s,64,247 reps - s,46,7:18 - s
79,Li Guangjie,668,213,16:59 - s,156,170 reps - s,76,167 reps - s,110,232 reps - s,113,8:42 - s
80,Benjamin Goh,671,177,16:19 - s,110,175 reps - s,160,132 reps - s,161,220 reps - s,63,7:40 - s
81,Choi Bosoon,674,122,15:34 - s,116,174 reps - s,206,119 reps - s,99,235 reps - s,131,8:56 - s
82,Dong Jin Kim,687,381,18:50 - s,126,173 reps - s,19,20:06 - s,55,250 reps - s,106,8:34 - s
83,Aleksandr Savelev,694,240,17:23 - s,56,200 reps - s,282,106 reps - s,41,254 reps - s,75,8:05 - s
84,Robert Voelzer,698,95,15:15 - s,203,162 reps - s,84,166 reps - s,61,248 reps - s,255,10:33 - s
85,Park Kiwook,701,162,16:06 - s,155,170 reps - s,128,142 reps - s,147,224 reps - s,109,8:36 - s
86,Gaius Gay,704,132,15:42 - s,175,167 reps - s,159,132 reps - s,135,226 reps - s,103,8:28 - s
87,Chris Bello,710,303,18:00 - s,211,158 reps - s,38,215 reps - s,58,249 reps - s,100,8:27 - s
88,NamKyoung Kim,723,124,15:35 - s,48,204 reps - s,292,105 reps - s,192,215 reps - s,67,7:52 - s
89,Zhomart Nurkanov,730,62,14:32 - s,70,195 reps - s,460,80 reps - s,17,274 reps - s,121,8:48 - s
89,Chris Nelson,730,134,15:45 - s,83,183 reps - s,75,167 reps - s,154,221 reps - s,284,11:05 - s
