Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
55,Ryan Brenn,601,11,12:59 - s,7,225 reps - s,425,130 reps - s,122,239 reps - s,36,7:40 - s
56,Ryan Guzman,606,38,14:22 - s,173,171 reps - s,130,179 reps - s,212,225 reps - s,53,8:00 - s
57,Eric Manskey,609,56,14:59 - s,54,197 reps - s,428,129 reps - s,65,248 reps - s,6,6:43 - s
58,Jerry Salinas,616,205,16:53 - s,4,235 reps - s,123,191 reps - s,78,246 reps - s,206,9:30 - s
59,Daulton Beam,617,58,15:01 - s,68,192 reps - s,26,19:52 - s,36,258 reps - s,429,11:09 - s
60,Alvaro Quintanilla,618,5,12:27 - s,19,213 reps - s,506,117 reps - s,38,258 reps - s,50,7:57 - s
60,Austin Ferrell,618,47,14:37 - s,107,180 reps - s,204,155 reps - s,194,228 reps - s,66,8:16 - s
62,Devin Pigera,628,26,13:55 - s,38,204 reps - s,481,119 reps - s,42,256 reps - s,41,7:44 - s
63,David Frew,629,94,15:41 - s,145,175 reps - s,58,23:02 - s,143,236 reps - s,189,9:26 - s
64,Scott Mullens,639,225,17:06 - s,57,197 reps - s,57,22:50 - s,265,219 reps - s,35,7:38 - s
65,Sammy Bazan,643,99,15:47 - s,187,170 reps - s,219,154 reps - s,62,250 reps - s,76,8:22 - s
66,Jeff Dickinson,654,73,15:14 - s,189,170 reps - s,220,154 reps - s,43,255 reps - s,129,8:54 - s
67,Kirk Hudson,655,185,16:42 - s,183,170 reps - s,68,215 reps - s,148,235 reps - s,71,8:19 - s
68,Aaron Kennedy,659,12,13:00 - s,72,190 reps - s,523,117 reps - s,9,276 reps - s,43,7:49 - s
69,David Rodriguez,661,83,15:27 - s,131,176 reps - s,54,22:43 - s,303,214 reps - s,90,8:30 - s
70,Oscar Ramos,681,329,17:58 - s,59,196 reps - s,95,191 reps - s,112,240 reps - s,86,8:28 - s
71,Robert Selders Jr.,691,248,17:17 - s,184,170 reps - s,33,21:05 - s,136,237 reps - s,90,8:30 - s
72,Jacob Blankinship,701,60,15:08 - s,64,195 reps - s,217,154 reps - s,187,229 reps - s,173,9:18 - s
73,Gary Short,702,159,16:29 - s,35,207 reps - s,205,155 reps - s,121,239 reps - s,182,9:23 - s
74,Robert Lay,733,9,12:46 - s,83,187 reps - s,483,119 reps - s,107,241 reps - s,51,7:58 - s
75,Matthew Smith,736,260,17:25 - s,95,180 reps - s,88,203 reps - s,188,229 reps - s,105,8:42 - s
76,Ben Brister,750,155,16:26 - s,101,180 reps - s,191,166 reps - s,81,245 reps - s,222,9:36 - s
77,Ronald Pembo,753,97,15:45 - s,116,178 reps - s,101,191 reps - s,343,211 reps - s,96,8:33 - s
78,Jeff Tjoelker,756,140,16:21 - s,217,166 reps - s,47,22:20 - s,221,223 reps - s,131,8:55 - s
79,Jaysen Runnels,784,60,15:08 - s,158,174 reps - s,52,22:36 - s,308,214 reps - s,206,9:30 - s
80,Kicker Kalozdi,815,3,12:01 - s,309,152 reps - s,399,130 reps - s,55,251 reps - s,49,7:56 - s
81,William Pirtle,816,112,16:02 - s,114,178 reps - s,115,191 reps - s,290,215 reps - s,185,9:24 - s
82,Matt Presley,828,398,18:30 - s,26,209 reps - s,64,23:38 - s,257,220 reps - s,83,8:25 - s
82,Joddie Carlile,828,282,17:36 - s,122,177 reps - s,191,166 reps - s,52,252 reps - s,181,9:22 - s
84,David W. Garza,841,216,17:00 - s,128,176 reps - s,104,191 reps - s,278,217 reps - s,115,8:48 - s
85,Jeff Richter,868,206,16:54 - s,405,141 reps - s,29,20:24 - s,39,257 reps - s,189,9:26 - s
86,Sam Hudson,877,66,15:10 - s,206,168 reps - s,133,179 reps - s,283,216 reps - s,189,9:26 - s
87,Lorenzo Ortiz,889,69,15:12 - s,310,152 reps - s,91,192 reps - s,148,235 reps - s,271,9:55 - s
88,Mike Myers,891,108,15:57 - s,320,149 reps - s,123,191 reps - s,232,221 reps - s,108,8:44 - s
89,Evan Havens,896,162,16:30 - s,70,191 reps - s,230,154 reps - s,200,227 reps - s,234,9:39 - s
90,Kevin Carrasco,898,197,16:48 - s,147,175 reps - s,336,138 reps - s,29,265 reps - s,189,9:26 - s
91,Dustin Campbell,900,132,16:19 - s,191,170 reps - s,96,191 reps - s,165,232 reps - s,316,10:19 - s
92,Mark Cox,936,73,15:14 - s,31,209 reps - s,372,131 reps - s,155,234 reps - s,305,10:15 - s
92,Tony Chu,936,33,14:14 - s,132,176 reps - s,512,117 reps - s,211,225 reps - s,48,7:54 - s
94,Logan Petry,939,344,18:05 - s,58,196 reps - s,99,191 reps - s,37,258 reps - s,401,11:00 - s
95,Eric Cloudt,948,225,17:06 - s,343,146 reps - s,146,178 reps - s,83,245 reps - s,151,9:08 - s
96,Jonathan Maxey,958,335,18:00 - s,91,182 reps - s,224,154 reps - s,78,246 reps - s,230,9:37 - s
97,Wesley Poth,966,259,17:24 - s,373,143 reps - s,61,23:12 - s,110,240 reps - s,163,9:12 - s
98,Shawn Duet,970,215,16:59 - s,167,172 reps - s,122,191 reps - s,128,238 reps - s,338,10:29 - s
99,Brian Uriegas,973,627,19:46 - s,74,190 reps - s,14,17:32 - s,1,290 reps - s,257,9:50 - s
100,Cliff Craddock,975,125,16:16 - s,113,178 reps - s,222,154 reps - s,285,216 reps - s,230,9:37 - s
101,Shane Walker,990,405,18:32 - s,118,177 reps - s,267,143 reps - s,113,240 reps - s,87,8:29 - s
102,George Lopez,992,142,16:22 - s,36,206 reps - s,380,131 reps - s,318,213 reps - s,116,8:50 - s
103,Cameron Single,1001,513,19:14 - s,283,157 reps - s,4,14:11 - s,130,238 reps - s,71,8:19 - s
104,Chris Jacobson,1014,221,17:04 - s,461,138 reps - s,92,191 reps - s,141,236 reps - s,99,8:37 - s
105,Darren Dudley,1019,304,17:49 - s,270,160 reps - s,32,21:00 - s,257,220 reps - s,156,9:09 - s
106,Ronnie Welch,1029,245,17:16 - s,229,164 reps - s,90,192 reps - s,170,231 reps - s,295,10:10 - s
107,James Powell,1031,344,18:05 - s,147,175 reps - s,121,191 reps - s,163,232 reps - s,256,9:49 - s
108,Corey Prantil,1034,172,16:35 - s,125,176 reps - s,80,204 reps - s,299,214 reps - s,358,10:38 - s
109,Chad Montalbano,1036,99,15:47 - s,103,180 reps - s,635,105 reps - s,74,246 reps - s,125,8:53 - s
110,Sam Griffin,1047,158,16:28 - s,236,163 reps - s,503,118 reps - s,50,252 reps - s,100,8:38 - s
111,Jeff Bessa,1051,129,16:18 - s,169,172 reps - s,448,129 reps - s,158,233 reps - s,147,9:05 - s
112,Brent Sherar,1054,491,19:05 - s,76,189 reps - s,398,130 reps - s,63,249 reps - s,26,7:34 - s
113,Rodolfo Amaro,1064,317,17:53 - s,164,172 reps - s,87,203 reps - s,201,227 reps - s,295,10:10 - s
114,David Minnigerode,1073,107,15:56 - s,204,169 reps - s,409,130 reps - s,164,232 reps - s,189,9:26 - s
115,Evan Higbee,1078,577,19:35 - s,40,204 reps - s,60,23:10 - s,257,220 reps - s,144,9:03 - s
116,Marcus Halsey,1079,218,17:03 - s,66,193 reps - s,170,167 reps - s,242,220 reps - s,383,10:52 - s
117,Matthew McGarr,1086,80,15:23 - s,137,175 reps - s,238,154 reps - s,374,208 reps - s,257,9:50 - s
118,Chris Sanders,1089,77,15:18 - s,597,128 reps - s,53,22:37 - s,240,220 reps - s,122,8:52 - s
119,Matthew Griffin,1101,600,19:40 - s,98,180 reps - s,222,154 reps - s,71,247 reps - s,110,8:45 - s
120,Todd Edmonds,1114,405,18:32 - s,154,174 reps - s,331,140 reps - s,111,240 reps - s,113,8:47 - s
121,Cletus Tapp,1118,442,18:48 - s,213,166 reps - s,81,203 reps - s,216,224 reps - s,166,9:14 - s
122,Thomas LeBlanc,1121,129,16:18 - s,143,175 reps - s,443,129 reps - s,159,233 reps - s,247,9:44 - s
123,Aaron Witler,1128,41,14:24 - s,142,175 reps - s,493,118 reps - s,275,217 reps - s,177,9:21 - s
124,HF Mason,1137,164,16:32 - s,472,137 reps - s,274,142 reps - s,86,245 reps - s,141,9:01 - s
125,Bo Hust,1142,178,16:39 - s,109,180 reps - s,563,107 reps - s,126,238 reps - s,166,9:14 - s
125,Dustin Benham,1142,167,16:33 - s,117,178 reps - s,441,129 reps - s,166,232 reps - s,251,9:46 - s
