Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
1,Regan Priest,73,21,13:48 - s,6,226 reps - s,32,22:46 - s,12,275 reps - s,2,7:00 - s
2,Ryan Gerwig,80,49,14:47 - s,11,216 reps - s,3,15:53 - s,6,285 reps - s,11,7:21 - s
3,Jason Eagles,154,7,12:56 - s,7,225 reps - s,119,168 reps - s,14,275 reps - s,7,7:13 - s
4,Sylvania Harrod,176,46,14:45 - s,13,214 reps - s,100,179 reps - s,3,295 reps - s,14,7:28 - s
5,Douglas O'Neil,177,15,13:34 - s,108,177 reps - s,43,23:59 - s,10,275 reps - s,1,6:56 - s
6,Chris Ryan,180,16,13:35 - s,17,211 reps - s,11,18:32 - s,5,286 reps - s,131,9:05 - s
7,Barry Beadles,186,72,15:20 - s,29,207 reps - s,67,191 reps - s,7,283 reps - s,11,7:21 - s
8,Aaron Bates,222,19,13:40 - s,31,206 reps - s,133,166 reps - s,14,275 reps - s,25,7:44 - s
9,Karlyn East,227,8,12:59 - s,36,204 reps - s,150,166 reps - s,11,275 reps - s,22,7:39 - s
10,Cameron Bogan,238,39,14:34 - s,22,209 reps - s,28,21:35 - s,14,275 reps - s,135,9:06 - s
11,Jacob Tedder,240,32,14:11 - s,64,193 reps - s,13,18:48 - s,112,240 reps - s,19,7:34 - s
12,James Rhee,289,34,14:17 - s,17,211 reps - s,145,166 reps - s,66,248 reps - s,27,7:49 - s
13,John Elliott,301,96,15:38 - s,8,223 reps - s,74,191 reps - s,28,260 reps - s,95,8:48 - s
14,Justin Halsey,309,131,16:06 - s,57,196 reps - s,6,16:16 - s,44,254 reps - s,71,8:28 - s
15,Raymond Dean,319,112,15:48 - s,25,208 reps - s,123,167 reps - s,52,251 reps - s,7,7:13 - s
16,Valentino DiEmedio,324,63,15:06 - s,48,199 reps - s,92,179 reps - s,19,270 reps - s,102,8:53 - s
17,Chris Yohe,330,82,15:27 - s,26,208 reps - s,64,191 reps - s,108,240 reps - s,50,8:12 - s
18,Dan Sperau,358,182,16:42 - s,55,196 reps - s,54,203 reps - s,40,255 reps - s,27,7:49 - s
19,Andrew Hartman,371,280,17:32 - s,5,229 reps - s,62,192 reps - s,18,273 reps - s,6,7:11 - s
20,Ben Hall,375,122,15:58 - s,147,173 reps - s,52,203 reps - s,31,260 reps - s,23,7:40 - s
21,Joerg Buttler,388,56,14:56 - s,40,202 reps - s,161,155 reps - s,73,247 reps - s,58,8:22 - s
22,Jay Richardson,390,21,13:48 - s,37,204 reps - s,139,166 reps - s,49,253 reps - s,144,9:09 - s
23,Chad Gimbert,398,37,14:27 - s,103,178 reps - s,84,191 reps - s,81,245 reps - s,93,8:45 - s
24,Matthew Drown,403,70,15:19 - s,129,175 reps - s,177,154 reps - s,12,275 reps - s,15,7:29 - s
25,Connor Riley,417,10,13:17 - s,10,216 reps - s,71,191 reps - s,55,251 reps - s,271,9:58 - s
