Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
26,Matt Kirsch,418,219,17:04 - s,17,211 reps - s,117,178 reps - s,24,265 reps - s,41,8:02 - s
27,Michael Morgan,425,75,15:22 - s,258,162 reps - s,19,20:16 - s,62,249 reps - s,11,7:21 - s
28,Blake Sagar,431,60,15:00 - s,112,176 reps - s,180,154 reps - s,4,293 reps - s,75,8:31 - s
29,Preston MacIntyre,434,66,15:10 - s,115,176 reps - s,73,191 reps - s,45,253 reps - s,135,9:06 - s
30,Ash Bell,443,149,16:17 - s,120,175 reps - s,85,191 reps - s,65,248 reps - s,24,7:41 - s
31,Dan Ford,444,75,15:22 - s,14,214 reps - s,142,166 reps - s,86,244 reps - s,127,9:04 - s
32,Danny Cariello,458,13,13:25 - s,87,180 reps - s,178,154 reps - s,146,235 reps - s,34,7:57 - s
33,Hunt Garren,475,312,17:43 - s,69,188 reps - s,1,13:34 - s,76,246 reps - s,17,7:32 - s
34,Joseph Fowler,476,81,15:26 - s,86,180 reps - s,174,154 reps - s,35,257 reps - s,100,8:51 - s
35,Eric Hoffmaster,496,47,14:46 - s,213,168 reps - s,107,178 reps - s,92,242 reps - s,37,7:58 - s
36,Matt Lenart,511,93,15:33 - s,68,188 reps - s,20,20:22 - s,68,247 reps - s,262,9:53 - s
37,John Fricke,531,184,16:43 - s,49,199 reps - s,186,154 reps - s,20,268 reps - s,92,8:41 - s
38,Shawn Lasek,548,195,16:52 - s,92,180 reps - s,187,154 reps - s,34,258 reps - s,40,8:01 - s
39,Mike Rooney,557,124,15:59 - s,98,179 reps - s,162,155 reps - s,120,239 reps - s,53,8:20 - s
40,Rob Mullins,572,157,16:23 - s,53,196 reps - s,164,155 reps - s,48,253 reps - s,150,9:14 - s
41,Carlo Sabatini,591,11,13:22 - s,90,180 reps - s,399,118 reps - s,23,265 reps - s,68,8:27 - s
42,Alexander Lembeck,619,100,15:41 - s,2,239 reps - s,353,129 reps - s,70,247 reps - s,94,8:46 - s
43,Brandon Roehm,628,16,13:35 - s,125,175 reps - s,93,179 reps - s,305,213 reps - s,89,8:39 - s
44,Chris Walls,636,58,14:57 - s,32,205 reps - s,480,107 reps - s,51,252 reps - s,15,7:29 - s
45,Evan Sides,652,60,15:00 - s,105,178 reps - s,294,132 reps - s,56,250 reps - s,137,9:07 - s
46,Brent Miller,669,187,16:44 - s,51,197 reps - s,181,154 reps - s,17,274 reps - s,233,9:44 - s
47,Jamie Mcmillin,684,285,17:35 - s,33,205 reps - s,256,141 reps - s,69,247 reps - s,41,8:02 - s
48,Matthew Pevahouse,692,91,15:31 - s,72,185 reps - s,175,154 reps - s,124,238 reps - s,230,9:43 - s
49,Justin Naecker,699,35,14:20 - s,94,180 reps - s,192,154 reps - s,90,242 reps - s,288,10:09 - s
50,Troy Baugh,700,119,15:57 - s,88,180 reps - s,191,154 reps - s,131,237 reps - s,171,9:22 - s
51,Darrin VanScoy,701,403,18:24 - s,118,175 reps - s,56,203 reps - s,83,244 reps - s,41,8:02 - s
52,Riley Green,707,6,12:51 - s,12,216 reps - s,415,117 reps - s,159,233 reps - s,115,8:58 - s
53,Aaron Dodge,720,142,16:14 - s,130,175 reps - s,327,131 reps - s,103,240 reps - s,18,7:33 - s
54,Mike Bufalini,729,47,14:46 - s,335,148 reps - s,179,154 reps - s,112,240 reps - s,56,8:21 - s
55,Michael Sobol,754,73,15:21 - s,28,207 reps - s,340,130 reps - s,261,217 reps - s,52,8:17 - s
55,Matt Miller,754,94,15:34 - s,278,158 reps - s,38,23:36 - s,167,231 reps - s,177,9:25 - s
57,Scott Rogers,757,101,15:42 - s,157,172 reps - s,129,167 reps - s,265,217 reps - s,105,8:54 - s
58,Eric Seaman,759,107,15:46 - s,122,175 reps - s,120,168 reps - s,210,224 reps - s,200,9:34 - s
59,Larry Billotto,775,107,15:46 - s,237,164 reps - s,336,130 reps - s,61,249 reps - s,34,7:57 - s
60,Kyle Thomas,776,150,16:18 - s,52,197 reps - s,95,179 reps - s,458,203 reps - s,21,7:37 - s
61,Elliott Sumner,779,52,14:52 - s,29,207 reps - s,513,105 reps - s,129,237 reps - s,56,8:21 - s
62,Hank Franklin,821,68,15:17 - s,125,175 reps - s,307,132 reps - s,33,258 reps - s,288,10:09 - s
63,Andrew Horan,846,176,16:36 - s,217,167 reps - s,70,191 reps - s,226,221 reps - s,157,9:16 - s
64,Brett Wineland,848,229,17:07 - s,165,171 reps - s,55,203 reps - s,130,237 reps - s,269,9:57 - s
65,Bob Olech,866,142,16:14 - s,179,170 reps - s,125,167 reps - s,115,239 reps - s,305,10:15 - s
66,Michael Allen,875,296,17:39 - s,228,166 reps - s,130,167 reps - s,138,236 reps - s,83,8:35 - s
67,Dane Vander Haar,881,247,17:18 - s,179,170 reps - s,7,16:47 - s,264,217 reps - s,184,9:29 - s
68,Andrew Davis,882,352,18:00 - s,236,164 reps - s,48,215 reps - s,209,225 reps - s,37,7:58 - s
69,Mike Chancler,885,117,15:54 - s,131,175 reps - s,354,129 reps - s,71,247 reps - s,212,9:37 - s
70,Eric Harrison,886,77,15:24 - s,63,193 reps - s,190,154 reps - s,186,228 reps - s,370,10:45 - s
70,David Allred,886,247,17:18 - s,219,167 reps - s,198,154 reps - s,77,246 reps - s,145,9:10 - s
72,Adam Rizza,889,329,17:52 - s,162,171 reps - s,26,21:26 - s,177,230 reps - s,195,9:32 - s
72,Matthew Shelor,889,28,14:04 - s,45,200 reps - s,482,107 reps - s,134,237 reps - s,200,9:34 - s
72,Dennis Kern,889,175,16:35 - s,93,180 reps - s,36,23:14 - s,109,240 reps - s,476,11:28 - s
75,Cory Mennett,891,449,18:38 - s,177,170 reps - s,89,191 reps - s,24,265 reps - s,152,9:15 - s
76,Kevin Gerstenberg,904,105,15:45 - s,190,170 reps - s,292,132 reps - s,198,226 reps - s,119,9:00 - s
77,Jeremy Bertschi,906,265,17:27 - s,272,160 reps - s,132,167 reps - s,152,234 reps - s,85,8:36 - s
78,Jace Huntley,907,84,15:28 - s,94,180 reps - s,156,166 reps - s,294,214 reps - s,279,10:03 - s
79,Greg Dahlem,933,227,17:06 - s,61,194 reps - s,351,129 reps - s,94,242 reps - s,200,9:34 - s
80,Sean Wright,936,369,18:08 - s,416,141 reps - s,12,18:39 - s,21,266 reps - s,118,8:59 - s
81,Michael Crist,940,323,17:47 - s,23,209 reps - s,100,179 reps - s,60,249 reps - s,434,11:11 - s
82,Edward Perry,945,672,19:35 - s,97,179 reps - s,74,191 reps - s,30,260 reps - s,72,8:30 - s
83,Tim Thomas,953,14,13:27 - s,16,212 reps - s,863,82 reps - s,26,263 reps - s,34,7:57 - s
84,John Hite,956,256,17:21 - s,288,156 reps - s,138,166 reps - s,93,242 reps - s,181,9:27 - s
85,Jay Pounds,961,131,16:06 - s,258,162 reps - s,250,141 reps - s,297,214 reps - s,25,7:44 - s
86,Kevin Perkins,964,285,17:35 - s,176,170 reps - s,287,136 reps - s,47,253 reps - s,169,9:20 - s
87,Jim Fuhs,970,501,18:55 - s,152,172 reps - s,203,151 reps - s,63,248 reps - s,51,8:13 - s
88,Craig Pizer,971,62,15:03 - s,46,200 reps - s,478,107 reps - s,105,240 reps - s,280,10:04 - s
89,Jeramie Settelen,983,445,18:37 - s,364,146 reps - s,66,191 reps - s,98,241 reps - s,10,7:19 - s
89,Matt Lenart,983,150,16:18 - s,141,173 reps - s,395,119 reps - s,195,226 reps - s,102,8:53 - s
91,Colby Ennis,994,187,16:44 - s,378,145 reps - s,4,15:54 - s,396,206 reps - s,29,7:52 - s
92,Neil Colie,1006,253,17:20 - s,315,151 reps - s,86,191 reps - s,137,236 reps - s,215,9:38 - s
93,Jim Hendrickson,1009,20,13:41 - s,468,139 reps - s,185,154 reps - s,81,245 reps - s,255,9:51 - s
94,Jon Rock,1050,119,15:57 - s,788,119 reps - s,72,191 reps - s,32,260 reps - s,39,7:59 - s
95,Christopher Smith,1053,127,16:01 - s,154,172 reps - s,269,141 reps - s,380,207 reps - s,123,9:03 - s
96,Brian Robinson,1058,591,19:16 - s,88,180 reps - s,94,179 reps - s,64,248 reps - s,221,9:40 - s
97,Matthew Good,1062,114,15:50 - s,262,162 reps - s,391,119 reps - s,80,245 reps - s,215,9:38 - s
98,Wade Roth,1063,206,16:59 - s,15,213 reps - s,747,93 reps - s,8,277 reps - s,87,8:37 - s
98,Joshua Seager,1063,203,16:57 - s,136,174 reps - s,316,131 reps - s,160,233 reps - s,248,9:48 - s
100,Noah Rohrer,1065,165,16:28 - s,81,182 reps - s,411,118 reps - s,271,217 reps - s,137,9:07 - s
101,Jaco Gerbrands,1070,139,16:12 - s,59,195 reps - s,258,141 reps - s,375,207 reps - s,239,9:45 - s
102,Phil Benyo,1071,329,17:52 - s,222,167 reps - s,68,191 reps - s,46,253 reps - s,406,11:01 - s
103,Kevin Neuschaefer,1077,172,16:34 - s,190,170 reps - s,625,101 reps - s,41,255 reps - s,49,8:10 - s
104,Ryan Longenette,1079,241,17:12 - s,410,142 reps - s,2,15:50 - s,121,238 reps - s,305,10:15 - s
105,Andrew McClellan,1107,245,17:17 - s,400,143 reps - s,140,166 reps - s,221,222 reps - s,101,8:52 - s
106,Daniel Hassell,1110,383,18:14 - s,65,191 reps - s,284,138 reps - s,241,220 reps - s,137,9:07 - s
107,Daniel Santos,1123,68,15:17 - s,106,177 reps - s,106,178 reps - s,330,211 reps - s,513,11:44 - s
107,Patrick Loeffler,1123,131,16:06 - s,179,170 reps - s,311,131 reps - s,281,215 reps - s,221,9:40 - s
109,Stephen Cook,1124,433,18:33 - s,287,156 reps - s,29,21:48 - s,74,247 reps - s,301,10:12 - s
110,Geoffrey Usher,1127,124,15:59 - s,170,171 reps - s,503,106 reps - s,299,214 reps - s,31,7:56 - s
111,Christopher Larson,1141,238,17:11 - s,57,196 reps - s,380,125 reps - s,277,216 reps - s,189,9:31 - s
112,Joshua Seykora,1143,393,18:16 - s,316,151 reps - s,238,142 reps - s,118,239 reps - s,78,8:33 - s
113,Morgan Batton,1156,141,16:13 - s,229,166 reps - s,315,131 reps - s,119,239 reps - s,352,10:37 - s
114,Michael Foreman,1162,59,14:59 - s,221,167 reps - s,408,118 reps - s,219,222 reps - s,255,9:51 - s
115,John Kearns,1165,339,17:55 - s,23,209 reps - s,675,95 reps - s,37,255 reps - s,91,8:40 - s
115,Chris Patton,1165,213,17:00 - s,39,203 reps - s,313,131 reps - s,272,216 reps - s,328,10:27 - s
117,Wesley Brown,1177,159,16:24 - s,400,143 reps - s,21,20:39 - s,262,217 reps - s,335,10:30 - s
118,Thomas Raven,1220,396,18:18 - s,109,176 reps - s,15,19:09 - s,326,211 reps - s,374,10:47 - s
119,James Rockefeller,1221,84,15:28 - s,888,114 reps - s,96,179 reps - s,75,246 reps - s,78,8:33 - s
120,Ross Fowle,1230,285,17:35 - s,382,144 reps - s,232,142 reps - s,126,237 reps - s,205,9:35 - s
121,Christopher Brown,1241,18,13:39 - s,37,204 reps - s,830,87 reps - s,91,242 reps - s,265,9:54 - s
122,Jacob Shear,1246,193,16:49 - s,306,153 reps - s,356,129 reps - s,163,232 reps - s,228,9:42 - s
123,Ricardo Guerra,1248,349,17:59 - s,285,156 reps - s,76,191 reps - s,331,211 reps - s,207,9:36 - s
124,Scott Huddleston,1252,689,19:38 - s,202,169 reps - s,9,17:56 - s,280,215 reps - s,72,8:30 - s
125,Christian Academy,1258,51,14:51 - s,185,170 reps - s,411,118 reps - s,269,217 reps - s,342,10:32 - s
126,Lj Pittman,1263,352,18:00 - s,227,166 reps - s,24,20:44 - s,549,200 reps - s,111,8:57 - s
127,Kenneth Bloom,1269,172,16:34 - s,114,176 reps - s,896,80 reps - s,57,250 reps - s,30,7:55 - s
128,Gene Cline,1275,94,15:34 - s,474,139 reps - s,589,104 reps - s,9,276 reps - s,109,8:56 - s
129,Dominic Perry,1278,345,17:57 - s,323,150 reps - s,78,191 reps - s,212,224 reps - s,320,10:22 - s
130,John Schreiner,1280,27,13:59 - s,27,207 reps - s,1121,59 reps - s,101,241 reps - s,4,7:07 - s
131,Joe Yoswa,1299,379,18:13 - s,99,179 reps - s,134,166 reps - s,352,209 reps - s,335,10:30 - s
132,Jacob Crews,1313,593,19:17 - s,209,168 reps - s,154,166 reps - s,171,230 reps - s,186,9:30 - s
133,Jay Peluso,1319,104,15:44 - s,165,171 reps - s,556,104 reps - s,175,230 reps - s,319,10:21 - s
134,Bryan Lobo,1379,223,17:05 - s,432,141 reps - s,517,105 reps - s,122,238 reps - s,85,8:36 - s
135,David Anthony,1389,292,17:38 - s,263,162 reps - s,506,106 reps - s,139,236 reps - s,189,9:31 - s
136,Carlos Barrientos,1392,147,16:15 - s,347,146 reps - s,548,105 reps - s,284,215 reps - s,66,8:26 - s
137,Chris Palmer,1395,398,18:20 - s,44,200 reps - s,522,105 reps - s,308,213 reps - s,123,9:03 - s
138,Jonathan Kling,1396,166,16:29 - s,246,163 reps - s,126,167 reps - s,556,199 reps - s,302,10:13 - s
139,Stephen Bain,1402,43,14:41 - s,20,209 reps - s,51,203 reps - s,38,255 reps - s,1250,0
140,Vincent Allison,1408,65,15:09 - s,138,174 reps - s,712,94 reps - s,298,214 reps - s,195,9:32 - s
141,Bill Patroni,1409,117,15:54 - s,854,116 reps - s,189,154 reps - s,204,225 reps - s,45,8:05 - s
141,Karthik Veluri,1409,159,16:24 - s,133,175 reps - s,279,140 reps - s,686,194 reps - s,152,9:15 - s
143,Luke Mellor,1416,576,19:13 - s,185,170 reps - s,492,106 reps - s,36,257 reps - s,127,9:04 - s
144,Bobby Barton,1421,439,18:36 - s,133,175 reps - s,41,23:46 - s,627,197 reps - s,181,9:27 - s
145,Nicholas Kelly,1422,107,15:46 - s,60,195 reps - s,658,96 reps - s,522,200 reps - s,75,8:31 - s
146,Derek Gallo,1424,329,17:52 - s,104,178 reps - s,45,215 reps - s,285,215 reps - s,661,12:42 - s
147,Jose Roig,1432,682,19:37 - s,431,141 reps - s,53,203 reps - s,135,236 reps - s,131,9:05 - s
148,Lance Buskey,1438,285,17:35 - s,91,180 reps - s,324,131 reps - s,465,203 reps - s,273,10:00 - s
149,Frank Goldman,1458,439,18:36 - s,240,163 reps - s,572,104 reps - s,176,230 reps - s,31,7:56 - s
150,James Lafrance,1460,736,19:48 - s,529,136 reps - s,38,23:36 - s,154,234 reps - s,3,7:05 - s
151,Michael Libbon,1461,115,15:52 - s,144,173 reps - s,581,104 reps - s,316,213 reps - s,305,10:15 - s
152,Joe Veler,1468,206,16:59 - s,318,151 reps - s,81,191 reps - s,166,231 reps - s,697,12:57 - s
153,William Tafuto,1475,3,12:19 - s,21,209 reps - s,1381,0,2,299 reps - s,68,8:27 - s
153,Christopher Swenson,1475,232,17:09 - s,344,147 reps - s,398,119 reps - s,349,209 reps - s,152,9:15 - s
153,Michael Orndorff,1475,557,19:09 - s,223,167 reps - s,348,130 reps - s,182,229 reps - s,165,9:18 - s
156,Danny Hayes,1486,290,17:37 - s,77,183 reps - s,891,80 reps - s,164,232 reps - s,64,8:25 - s
157,Wilhelm Wieland,1487,356,18:01 - s,328,149 reps - s,419,117 reps - s,151,234 reps - s,233,9:44 - s
158,Ed Smith,1488,630,19:26 - s,263,162 reps - s,141,166 reps - s,302,214 reps - s,152,9:15 - s
159,Brian Traugott,1494,201,16:55 - s,171,171 reps - s,277,141 reps - s,365,208 reps - s,480,11:30 - s
160,Michael Allwein,1496,31,14:10 - s,357,146 reps - s,388,119 reps - s,612,197 reps - s,108,8:55 - s
161,Wesley Harris,1501,265,17:27 - s,183,170 reps - s,205,144 reps - s,691,193 reps - s,157,9:16 - s
162,Andy Snead,1502,245,17:17 - s,410,142 reps - s,645,97 reps - s,197,226 reps - s,5,7:08 - s
163,Rob Brisley,1506,23,13:49 - s,208,168 reps - s,880,82 reps - s,350,209 reps - s,45,8:05 - s
164,James Masterson,1521,12,13:24 - s,576,134 reps - s,585,104 reps - s,107,240 reps - s,241,9:46 - s
165,Erick Lauber,1527,316,17:44 - s,487,138 reps - s,214,143 reps - s,343,210 reps - s,167,9:19 - s
166,Dan King,1529,931,215 reps - s,260,162 reps - s,105,178 reps - s,165,231 reps - s,68,8:27 - s
167,Charlie Wilson,1534,56,14:56 - s,582,133 reps - s,352,129 reps - s,127,237 reps - s,417,11:04 - s
168,Edward Hurley,1537,42,14:39 - s,4,234 reps - s,1381,0,29,260 reps - s,81,8:34 - s
169,Thomas Zydel,1539,199,16:54 - s,190,170 reps - s,704,95 reps - s,79,245 reps - s,367,10:44 - s
170,John Tanhouser,1540,33,14:12 - s,305,153 reps - s,1062,66 reps - s,43,254 reps - s,97,8:49 - s
171,Hudson Styles,1541,368,18:06 - s,405,142 reps - s,16,19:30 - s,200,226 reps - s,552,11:59 - s
172,Randy Mann,1550,304,17:41 - s,256,162 reps - s,631,99 reps - s,211,224 reps - s,148,9:12 - s
173,Gabe Lindeen,1551,182,16:42 - s,690,124 reps - s,215,143 reps - s,392,206 reps - s,72,8:30 - s
174,Warren Dennison,1555,436,18:35 - s,83,181 reps - s,831,87 reps - s,22,265 reps - s,183,9:28 - s
175,Chris Holstein,1563,1023,212 reps - s,153,172 reps - s,77,191 reps - s,205,225 reps - s,105,8:54 - s
176,Matt Foster,1574,29,14:07 - s,300,154 reps - s,824,90 reps - s,141,235 reps - s,280,10:04 - s
176,Josh Rice,1574,349,17:59 - s,359,146 reps - s,152,166 reps - s,587,198 reps - s,127,9:04 - s
178,James Carucci,1592,232,17:09 - s,758,121 reps - s,329,131 reps - s,168,231 reps - s,105,8:54 - s
179,Jason Williams,1605,497,18:54 - s,172,170 reps - s,314,131 reps - s,381,207 reps - s,241,9:46 - s
180,Mike Wong,1614,98,15:40 - s,73,184 reps - s,143,166 reps - s,50,253 reps - s,1250,0
180,Ted Wolfe,1614,596,19:18 - s,390,144 reps - s,135,166 reps - s,391,206 reps - s,102,8:53 - s
182,Andy Dodson,1622,490,18:52 - s,206,168 reps - s,127,167 reps - s,460,203 reps - s,339,10:31 - s
183,Andrew Rostan,1629,50,14:48 - s,111,176 reps - s,1127,59 reps - s,184,228 reps - s,157,9:16 - s
183,Andrew Nowland,1629,232,17:09 - s,574,134 reps - s,449,115 reps - s,103,240 reps - s,271,9:58 - s
185,Mitch Schaffer,1639,92,15:32 - s,175,170 reps - s,1183,56 reps - s,58,250 reps - s,131,9:05 - s
186,Phil COran,1645,269,17:29 - s,613,129 reps - s,170,155 reps - s,189,227 reps - s,404,11:00 - s
187,David Gerting,1647,64,15:08 - s,164,171 reps - s,837,84 reps - s,146,235 reps - s,436,11:13 - s
188,Chase Tew,1648,455,18:41 - s,522,136 reps - s,452,108 reps - s,161,232 reps - s,58,8:22 - s
189,Ted Carol,1651,238,17:11 - s,310,152 reps - s,803,92 reps - s,178,230 reps - s,122,9:02 - s
190,Jeff Crider,1664,372,18:10 - s,373,145 reps - s,499,106 reps - s,275,216 reps - s,145,9:10 - s
191,Will Dennis,1668,439,18:36 - s,190,170 reps - s,364,129 reps - s,281,215 reps - s,394,10:56 - s
192,Paul Deibler,1672,627,19:25 - s,337,148 reps - s,61,197 reps - s,403,206 reps - s,244,9:47 - s
193,Jeff Varnes,1675,449,18:38 - s,100,179 reps - s,710,94 reps - s,128,237 reps - s,288,10:09 - s
194,Randall Woods,1680,101,15:42 - s,484,138 reps - s,299,132 reps - s,232,220 reps - s,564,12:08 - s
195,Scott Hart,1682,24,13:54 - s,138,174 reps - s,217,143 reps - s,53,251 reps - s,1250,0
196,John Schnitzer,1693,339,17:55 - s,385,144 reps - s,455,107 reps - s,97,241 reps - s,417,11:04 - s
197,Matt Spence,1694,430,18:32 - s,147,173 reps - s,247,142 reps - s,418,205 reps - s,452,11:20 - s
198,Chris Coxe,1699,231,17:08 - s,80,182 reps - s,751,93 reps - s,416,205 reps - s,221,9:40 - s
199,Jake Parrish,1702,347,17:58 - s,290,156 reps - s,384,120 reps - s,291,215 reps - s,390,10:55 - s
200,Josh Brown,1709,129,16:04 - s,1248,81 reps - s,136,166 reps - s,59,249 reps - s,137,9:07 - s
201,Jay Wallace,1714,166,16:29 - s,663,125 reps - s,566,104 reps - s,162,232 reps - s,157,9:16 - s
202,Bruce Poling,1728,218,17:03 - s,658,126 reps - s,59,203 reps - s,341,210 reps - s,452,11:20 - s
203,Matt Bearrow,1730,296,17:39 - s,301,154 reps - s,672,96 reps - s,173,230 reps - s,288,10:09 - s
204,Mark Hills,1732,604,19:20 - s,247,163 reps - s,128,167 reps - s,363,208 reps - s,390,10:55 - s
205,Baron Fulk,1735,169,16:32 - s,178,170 reps - s,714,94 reps - s,102,240 reps - s,572,12:11 - s
206,Alan Hart,1738,399,18:22 - s,489,138 reps - s,213,143 reps - s,463,203 reps - s,174,9:23 - s
207,Josh Clawson,1741,1134,204 reps - s,289,156 reps - s,14,18:59 - s,87,244 reps - s,217,9:39 - s
208,Dario Campolattaro,1743,136,16:09 - s,327,149 reps - s,786,93 reps - s,180,229 reps - s,314,10:19 - s
209,John Field,1757,764,19:58 - s,625,128 reps - s,31,22:38 - s,111,240 reps - s,226,9:41 - s
210,Stephen Rudder,1760,137,16:11 - s,160,171 reps - s,562,104 reps - s,237,220 reps - s,664,12:43 - s
211,Isaac Rohrer,1768,263,17:26 - s,299,154 reps - s,159,156 reps - s,702,193 reps - s,345,10:33 - s
212,Scott Gilchrist,1770,390,18:15 - s,244,163 reps - s,311,131 reps - s,668,195 reps - s,157,9:16 - s
213,Kevin Romano,1776,259,17:22 - s,463,140 reps - s,422,117 reps - s,226,221 reps - s,406,11:01 - s
214,Brian Workman,1803,261,17:24 - s,185,170 reps - s,458,107 reps - s,637,196 reps - s,262,9:53 - s
215,Tom Scott,1807,137,16:11 - s,1304,78 reps - s,173,154 reps - s,78,245 reps - s,115,8:58 - s
215,Kent Webb,1807,455,18:41 - s,449,141 reps - s,235,142 reps - s,310,213 reps - s,358,10:40 - s
217,Tim Smith,1808,768,19:59 - s,205,168 reps - s,79,191 reps - s,456,203 reps - s,300,10:11 - s
218,Steve Smith,1811,277,17:31 - s,140,174 reps - s,418,117 reps - s,457,203 reps - s,519,11:47 - s
219,Derek Tappe,1814,142,16:14 - s,110,176 reps - s,165,155 reps - s,1314,0,83,8:35 - s
220,Jonathan Goldman,1818,339,17:55 - s,839,117 reps - s,198,154 reps - s,321,212 reps - s,121,9:01 - s
221,Stephen Morse,1824,1038,212 reps - s,448,141 reps - s,5,15:58 - s,155,233 reps - s,178,9:26 - s
222,Joseph Rosati,1827,471,18:47 - s,423,141 reps - s,442,117 reps - s,188,228 reps - s,303,10:14 - s
223,Keith Sheppard,1828,147,16:15 - s,397,143 reps - s,378,127 reps - s,418,205 reps - s,488,11:33 - s
224,Jordan Steves,1830,150,16:18 - s,575,134 reps - s,617,102 reps - s,237,220 reps - s,251,9:49 - s
225,Troy Jochems,1831,159,16:24 - s,505,137 reps - s,166,155 reps - s,136,236 reps - s,865,14:09 - s
226,Matheson Davis,1835,425,18:30 - s,495,138 reps - s,228,142 reps - s,339,210 reps - s,348,10:35 - s
227,Tyler Robinson,1843,435,18:34 - s,225,166 reps - s,146,166 reps - s,652,195 reps - s,385,10:52 - s
227,Vito DePietro,1843,660,19:33 - s,253,162 reps - s,229,142 reps - s,428,205 reps - s,273,10:00 - s
229,John Sinsley,1844,593,19:17 - s,511,137 reps - s,280,139 reps - s,260,217 reps - s,200,9:34 - s
229,Derek Pollard,1844,319,17:46 - s,443,141 reps - s,431,117 reps - s,301,214 reps - s,350,10:36 - s
231,Timothy Richards,1852,238,17:11 - s,132,175 reps - s,391,119 reps - s,286,215 reps - s,805,13:37 - s
232,Mark Richards,1853,203,16:57 - s,190,170 reps - s,740,94 reps - s,555,199 reps - s,165,9:18 - s
233,Jeff Henderson,1862,142,16:14 - s,752,121 reps - s,633,99 reps - s,123,238 reps - s,212,9:37 - s
234,Ryan Ferons,1870,253,17:20 - s,185,170 reps - s,431,117 reps - s,542,200 reps - s,459,11:22 - s
235,Scott Welsh,1882,79,15:25 - s,758,121 reps - s,358,129 reps - s,288,215 reps - s,399,10:58 - s
236,Bob Liberatore,1885,36,14:26 - s,284,157 reps - s,231,142 reps - s,1314,0,20,7:35 - s
237,Chris Simmons,1901,682,19:37 - s,495,138 reps - s,286,137 reps - s,374,207 reps - s,64,8:25 - s
238,Kyle Murphy,1911,826,221 reps - s,675,125 reps - s,47,215 reps - s,302,214 reps - s,61,8:23 - s
239,Joseph Cordaro,1914,267,17:28 - s,957,110 reps - s,414,118 reps - s,153,234 reps - s,123,9:03 - s
