Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
54,Louis Botha,475,170,16:50 - s,55,189 reps - s,42,191 reps - s,128,220 reps - s,80,9:15 - s
55,Yagiz Kiymaz,479,183,17:00 - s,56,188 reps - s,110,141 reps - s,18,260 reps - s,112,9:42 - s
56,Fares Adel,488,97,15:42 - s,59,183 reps - s,5,15:18 - s,305,198 reps - s,22,7:57 - s
57,Paus Cdric,489,59,14:54 - s,78,175 reps - s,79,154 reps - s,87,234 reps - s,186,10:45 - s
58,Carl De Bruin,493,49,14:29 - s,41,197 reps - s,265,104 reps - s,42,247 reps - s,96,9:28 - s
59,Yusuf Salah Almahmeed,494,61,14:56 - s,114,165 reps - s,171,118 reps - s,123,221 reps - s,25,8:02 - s
60,Rassie Harmse,497,156,16:42 - s,170,147 reps - s,30,215 reps - s,95,231 reps - s,46,8:36 - s
61,Mirhan Tosun,535,89,15:34 - s,86,174 reps - s,48,191 reps - s,61,240 reps - s,251,11:38 - s
62,Loc Touneji,539,176,16:54 - s,61,180 reps - s,188,107 reps - s,49,244 reps - s,65,9:01 - s
63,Mohammed Al Harrasi,548,73,15:20 - s,67,179 reps - s,300,95 reps - s,67,239 reps - s,41,8:28 - s
64,Oren Elisha,557,236,17:40 - s,45,196 reps - s,92,154 reps - s,40,248 reps - s,144,10:15 - s
65,Taha Klavuz,560,228,17:37 - s,33,204 reps - s,220,106 reps - s,31,250 reps - s,48,8:41 - s
66,Matan Retzer,567,9,12:21 - s,13,218 reps - s,273,104 reps - s,103,229 reps - s,169,10:35 - s
67,Kerem Gulsen,570,219,17:27 - s,238,141 reps - s,48,191 reps - s,22,255 reps - s,43,8:30 - s
68,Mohammed Jassim,580,110,15:57 - s,53,194 reps - s,47,191 reps - s,106,228 reps - s,264,11:50 - s
69,Dagher Joseph,587,188,17:03 - s,66,180 reps - s,32,215 reps - s,61,240 reps - s,240,11:28 - s
70,Shem Roberts,591,369,19:00 - s,69,178 reps - s,90,154 reps - s,45,245 reps - s,18,7:43 - s
71,Majed Aldokkan,594,102,15:45 - s,108,168 reps - s,190,107 reps - s,78,237 reps - s,116,9:50 - s
72,Hassan Jaafar,595,63,15:03 - s,107,168 reps - s,199,107 reps - s,210,207 reps - s,16,7:39 - s
73,Yasir Hakeem,606,156,16:42 - s,35,204 reps - s,326,94 reps - s,50,244 reps - s,39,8:27 - s
74,Mario Schoeman,613,121,16:10 - s,254,139 reps - s,147,129 reps - s,52,243 reps - s,39,8:27 - s
75,Richard Fiess,619,179,16:55 - s,143,158 reps - s,57,178 reps - s,184,211 reps - s,56,8:51 - s
76,Lucas Dequiedt,620,18,13:15 - s,125,162 reps - s,204,106 reps - s,74,238 reps - s,199,10:52 - s
77,Braam van Wyk,634,304,18:29 - s,82,175 reps - s,56,178 reps - s,143,219 reps - s,49,8:42 - s
78,Steyn Du Plessis,640,140,16:28 - s,200,143 reps - s,96,143 reps - s,109,227 reps - s,95,9:27 - s
79,Ahmed Mohamed,656,86,15:30 - s,65,180 reps - s,83,154 reps - s,276,201 reps - s,146,10:16 - s
80,Robin Ziehl,657,98,15:43 - s,138,158 reps - s,231,105 reps - s,152,217 reps - s,38,8:26 - s
81,Firat Ersanli,660,272,18:05 - s,249,139 reps - s,41,191 reps - s,28,251 reps - s,70,9:06 - s
82,Rayan El Amine,667,73,15:20 - s,187,145 reps - s,101,143 reps - s,221,206 reps - s,85,9:18 - s
83,Kevin Rom,680,394,19:12 - s,142,158 reps - s,18,22:14 - s,59,240 reps - s,67,9:02 - s
84,Necdet Ali Ates,686,102,15:45 - s,43,196 reps - s,118,141 reps - s,296,198 reps - s,127,10:00 - s
85,Fernando Monteiro,697,117,16:07 - s,163,151 reps - s,227,105 reps - s,66,239 reps - s,124,9:58 - s
86,Necip Emre Olcay,703,152,16:40 - s,121,163 reps - s,192,107 reps - s,92,232 reps - s,146,10:16 - s
87,Martin Shell,710,285,18:17 - s,64,180 reps - s,87,154 reps - s,215,207 reps - s,59,8:54 - s
88,Arthur Venter,713,272,18:05 - s,174,146 reps - s,22,22:58 - s,97,231 reps - s,148,10:17 - s
89,Sedat Sabak,723,110,15:57 - s,139,158 reps - s,108,141 reps - s,155,216 reps - s,211,11:03 - s
90,Ray Lane,742,205,17:14 - s,271,136 reps - s,150,129 reps - s,79,236 reps - s,37,8:24 - s
91,Mickael Barret,745,186,17:02 - s,157,153 reps - s,181,117 reps - s,103,229 reps - s,118,9:55 - s
92,Ryan De Boom,749,59,14:54 - s,57,187 reps - s,284,97 reps - s,107,227 reps - s,242,11:29 - s
93,Carlin Gerbich,769,114,16:04 - s,180,146 reps - s,200,107 reps - s,91,233 reps - s,184,10:44 - s
94,Zeller Frdric,771,147,16:34 - s,230,141 reps - s,218,106 reps - s,73,238 reps - s,103,9:36 - s
95,Brandon Woolley,777,214,17:21 - s,222,141 reps - s,142,130 reps - s,55,241 reps - s,144,10:15 - s
96,Robert van Riel,779,127,16:19 - s,207,142 reps - s,180,117 reps - s,116,224 reps - s,149,10:18 - s
97,Ahmad Abbas,811,316,18:35 - s,71,177 reps - s,58,178 reps - s,174,212 reps - s,192,10:48 - s
98,Fahed Alhunaif,814,24,13:41 - s,36,204 reps - s,593,60 reps - s,61,240 reps - s,100,9:34 - s
99,Byron Lewis,815,382,19:04 - s,165,149 reps - s,51,179 reps - s,138,220 reps - s,79,9:14 - s
100,Ahmed Kaki,827,124,16:14 - s,340,127 reps - s,161,119 reps - s,134,220 reps - s,68,9:03 - s
101,Mickael Gratia,837,129,16:20 - s,128,162 reps - s,167,119 reps - s,239,204 reps - s,174,10:37 - s
102,Thierry Plante,839,418,19:23 - s,109,166 reps - s,123,141 reps - s,47,245 reps - s,142,10:14 - s
103,Yigit Can Akkor,843,156,16:42 - s,276,136 reps - s,34,203 reps - s,250,203 reps - s,127,10:00 - s
104,Francois du Toit,844,47,14:25 - s,98,170 reps - s,209,106 reps - s,300,198 reps - s,190,10:47 - s
105,Andrew Warner,854,138,16:25 - s,118,164 reps - s,165,119 reps - s,114,225 reps - s,319,12:30 - s
106,Francois Swanepoel,866,132,16:21 - s,282,136 reps - s,159,120 reps - s,93,232 reps - s,200,10:53 - s
107,Nicholas Mulders,877,134,16:23 - s,255,138 reps - s,282,97 reps - s,101,230 reps - s,105,9:37 - s
108,Tareq Zoumot,880,242,17:45 - s,238,141 reps - s,184,117 reps - s,151,217 reps - s,65,9:01 - s
109,Vas Kelaris,885,73,15:20 - s,135,160 reps - s,292,96 reps - s,117,224 reps - s,268,11:52 - s
110,Albaraa Alkilani,898,309,18:31 - s,102,170 reps - s,170,119 reps - s,224,205 reps - s,93,9:26 - s
111,Daniel Coetzee,904,145,16:31 - s,212,142 reps - s,125,141 reps - s,261,202 reps - s,161,10:30 - s
112,Daniel Ludwig,913,247,17:47 - s,185,146 reps - s,330,94 reps - s,19,260 reps - s,132,10:04 - s
113,Mustafa Gencoglu,916,540,224 reps - s,50,195 reps - s,95,143 reps - s,146,218 reps - s,85,9:18 - s
114,Christo Fourie,925,30,13:52 - s,13,218 reps - s,17,22:13 - s,102,229 reps - s,763,0
115,Keegan Clarke,928,493,19:49 - s,164,151 reps - s,52,179 reps - s,94,232 reps - s,125,9:59 - s
115,Bahadr zdemir,928,162,16:45 - s,192,145 reps - s,369,92 reps - s,131,220 reps - s,74,9:09 - s
117,Frans Labuschagne,929,250,17:48 - s,178,146 reps - s,71,166 reps - s,234,204 reps - s,196,10:50 - s
118,Sameer Almehmadi,936,141,16:29 - s,148,156 reps - s,327,94 reps - s,237,204 reps - s,83,9:16 - s
119,Burak Yeil,942,126,16:16 - s,264,137 reps - s,258,104 reps - s,171,213 reps - s,123,9:57 - s
120,Wikus Van Staden,943,389,19:10 - s,201,143 reps - s,114,141 reps - s,110,227 reps - s,129,10:01 - s
121,Omar Attia,954,291,18:22 - s,426,119 reps - s,38,191 reps - s,122,221 reps - s,77,9:12 - s
122,William Celeste,955,78,15:21 - s,476,115 reps - s,189,107 reps - s,43,246 reps - s,169,10:35 - s
123,Ammar Al-Bakri,967,208,17:16 - s,77,175 reps - s,322,94 reps - s,242,204 reps - s,118,9:55 - s
124,Wouter Viljoen,971,326,18:40 - s,209,142 reps - s,64,167 reps - s,160,215 reps - s,212,11:04 - s
125,Anthony Bayne,974,446,19:33 - s,162,152 reps - s,152,129 reps - s,75,238 reps - s,139,10:10 - s
126,Renier Botma,975,290,18:21 - s,402,120 reps - s,134,131 reps - s,80,236 reps - s,69,9:05 - s
127,Cameron Balie,985,31,13:55 - s,396,121 reps - s,279,99 reps - s,191,210 reps - s,88,9:20 - s
128,Yakov Avner,988,162,16:45 - s,112,165 reps - s,398,84 reps - s,147,218 reps - s,169,10:35 - s
129,Fulvio Don,996,160,16:43 - s,453,117 reps - s,150,129 reps - s,162,215 reps - s,71,9:07 - s
130,Riaan Van Loggerenberg,1003,460,19:37 - s,149,155 reps - s,44,191 reps - s,96,231 reps - s,254,11:43 - s
131,Tiaan Abrahams,1004,125,16:15 - s,258,138 reps - s,94,154 reps - s,278,201 reps - s,249,11:36 - s
132,Sofiene Ben Moussa,1005,16,13:05 - s,10,225 reps - s,135,131 reps - s,780,110 reps - s,64,8:58 - s
133,Wilfrid Conver,1010,258,17:56 - s,274,136 reps - s,173,117 reps - s,76,237 reps - s,229,11:16 - s
133,Pieta van der Merwe,1010,298,18:26 - s,130,162 reps - s,163,119 reps - s,252,203 reps - s,167,10:34 - s
135,Sevan Karmandarian,1011,117,16:07 - s,100,170 reps - s,140,131 reps - s,318,196 reps - s,336,12:40 - s
136,Ryan Jones,1018,45,14:21 - s,89,173 reps - s,441,80 reps - s,220,206 reps - s,223,11:14 - s
137,Gareth Osterloh,1030,165,16:46 - s,246,139 reps - s,130,133 reps - s,274,201 reps - s,215,11:06 - s
138,Kim Larsen,1036,185,17:01 - s,427,119 reps - s,243,105 reps - s,82,235 reps - s,99,9:31 - s
139,Cem Telvi,1056,94,15:41 - s,117,164 reps - s,425,81 reps - s,83,235 reps - s,337,12:41 - s
140,Mj de Kock,1071,239,17:42 - s,247,139 reps - s,260,104 reps - s,170,213 reps - s,155,10:25 - s
141,Sultan Alshali,1074,228,17:37 - s,73,176 reps - s,175,117 reps - s,279,200 reps - s,319,12:30 - s
142,Caner Efe,1078,156,16:42 - s,93,172 reps - s,212,106 reps - s,164,215 reps - s,453,14:29 - s
143,Dj Spring,1079,197,17:09 - s,298,135 reps - s,248,105 reps - s,111,227 reps - s,225,11:15 - s
144,Abdulaziz Almusalam,1082,354,18:54 - s,124,162 reps - s,422,81 reps - s,131,220 reps - s,51,8:44 - s
145,David Burrows,1097,191,17:05 - s,91,172 reps - s,261,104 reps - s,342,193 reps - s,212,11:04 - s
145,Rihan Meij,1097,435,19:29 - s,238,141 reps - s,156,124 reps - s,148,218 reps - s,120,9:56 - s
147,Peter Flowers,1098,228,17:37 - s,79,175 reps - s,547,67 reps - s,154,216 reps - s,90,9:24 - s
148,Berkan ztrk,1104,186,17:02 - s,49,196 reps - s,68,166 reps - s,38,248 reps - s,763,0
149,Jean Engelbrecht,1105,139,16:27 - s,269,136 reps - s,233,105 reps - s,371,190 reps - s,93,9:26 - s
150,Tarek El Far,1108,219,17:27 - s,219,141 reps - s,267,104 reps - s,271,202 reps - s,132,10:04 - s
151,Waleed Joulani,1109,119,16:09 - s,355,125 reps - s,74,155 reps - s,305,198 reps - s,256,11:44 - s
152,Jan Esterhuyse,1115,312,18:33 - s,535,112 reps - s,97,143 reps - s,69,239 reps - s,102,9:35 - s
153,Jarrod Len,1123,247,17:47 - s,197,144 reps - s,244,105 reps - s,176,212 reps - s,259,11:47 - s
154,John Standley,1126,106,15:49 - s,382,122 reps - s,324,94 reps - s,57,240 reps - s,257,11:45 - s
155,Saeed Mohammed,1137,67,15:12 - s,212,142 reps - s,635,58 reps - s,113,225 reps - s,110,9:39 - s
156,Khaled Alsaud,1139,361,18:56 - s,133,161 reps - s,163,119 reps - s,267,202 reps - s,215,11:06 - s
157,Christoff Marais,1147,241,17:43 - s,189,145 reps - s,439,80 reps - s,173,213 reps - s,105,9:37 - s
158,Etienne Roux,1151,50,14:31 - s,284,136 reps - s,444,80 reps - s,189,211 reps - s,184,10:44 - s
159,Andrew Herman Rudman,1153,304,18:29 - s,387,122 reps - s,178,117 reps - s,149,218 reps - s,135,10:05 - s
160,Rikus Lotter,1154,540,224 reps - s,193,145 reps - s,202,107 reps - s,44,245 reps - s,175,10:38 - s
161,Graeme Whibley,1158,322,18:38 - s,83,174 reps - s,459,71 reps - s,142,219 reps - s,152,10:22 - s
162,Gavin Thompson,1167,393,19:11 - s,203,143 reps - s,46,191 reps - s,225,205 reps - s,300,12:09 - s
163,Gareth Yates,1169,351,18:53 - s,179,146 reps - s,53,179 reps - s,351,192 reps - s,235,11:25 - s
164,Robert Matthias,1172,427,19:27 - s,80,175 reps - s,421,82 reps - s,172,213 reps - s,72,9:08 - s
165,Sean Tasker,1175,627,216 reps - s,92,172 reps - s,222,106 reps - s,193,209 reps - s,41,8:28 - s
166,Pedro Heitor,1180,198,17:10 - s,284,136 reps - s,287,96 reps - s,130,220 reps - s,281,11:58 - s
167,Jesus Esquivel,1182,228,17:37 - s,220,141 reps - s,436,80 reps - s,178,212 reps - s,120,9:56 - s
168,Farah Ibrahim,1184,211,17:17 - s,237,141 reps - s,203,106 reps - s,195,209 reps - s,338,12:42 - s
169,Hasan Dashti,1200,309,18:31 - s,242,140 reps - s,158,120 reps - s,246,204 reps - s,245,11:30 - s
170,Wernard Van Zyl,1204,85,15:29 - s,308,132 reps - s,359,92 reps - s,361,191 reps - s,91,9:25 - s
171,David Cadet,1208,56,14:45 - s,175,146 reps - s,555,67 reps - s,165,215 reps - s,257,11:45 - s
172,Abdulla Alshehhi,1212,52,14:39 - s,119,164 reps - s,837,0,99,230 reps - s,105,9:37 - s
172,Tolga Ahska,1212,408,19:18 - s,161,152 reps - s,174,117 reps - s,260,203 reps - s,209,11:01 - s
174,Charl Enslin,1213,42,14:15 - s,317,130 reps - s,394,85 reps - s,245,204 reps - s,215,11:06 - s
175,Alex Russell,1215,191,17:05 - s,158,153 reps - s,438,80 reps - s,256,203 reps - s,172,10:36 - s
176,Hilson Wilmot,1219,179,16:55 - s,132,161 reps - s,476,70 reps - s,194,209 reps - s,238,11:27 - s
177,Gary Rice,1221,286,18:18 - s,194,145 reps - s,278,101 reps - s,211,207 reps - s,252,11:39 - s
178,Mohamed Swailm,1227,64,15:06 - s,151,155 reps - s,206,106 reps - s,377,190 reps - s,429,13:59 - s
179,Oliver Barth,1242,435,19:29 - s,102,170 reps - s,406,83 reps - s,158,216 reps - s,141,10:12 - s
180,Alon Salomon,1258,172,16:53 - s,370,124 reps - s,603,59 reps - s,61,240 reps - s,52,8:46 - s
181,Declan Duff,1262,141,16:29 - s,141,158 reps - s,755,44 reps - s,145,218 reps - s,80,9:15 - s
182,Rad Vermaak,1265,188,17:03 - s,74,175 reps - s,105,142 reps - s,135,220 reps - s,763,0
183,Miguel Ramirez,1268,468,19:40 - s,315,130 reps - s,133,132 reps - s,222,206 reps - s,130,10:02 - s
184,Cem Yasav,1269,251,17:50 - s,172,146 reps - s,60,173 reps - s,23,254 reps - s,763,0
185,Farhad Jazayeri,1279,129,16:20 - s,68,179 reps - s,221,106 reps - s,826,0,35,8:17 - s
186,Brett Burgess,1281,172,16:53 - s,224,141 reps - s,137,131 reps - s,423,185 reps - s,325,12:33 - s
187,Dean Theisinger,1283,87,15:31 - s,522,112 reps - s,50,179 reps - s,205,208 reps - s,419,13:48 - s
188,Berk Atak,1292,354,18:54 - s,236,141 reps - s,434,80 reps - s,86,234 reps - s,182,10:41 - s
189,Khaled AA Alhosani,1294,247,17:47 - s,348,126 reps - s,234,105 reps - s,152,217 reps - s,313,12:21 - s
190,Quentin Visnelda,1296,546,223 reps - s,146,156 reps - s,239,105 reps - s,268,202 reps - s,97,9:29 - s
191,Amir Bekhit,1297,191,17:05 - s,753,84 reps - s,59,178 reps - s,138,220 reps - s,156,10:28 - s
192,Omar Murra,1302,347,18:52 - s,137,159 reps - s,361,92 reps - s,282,200 reps - s,175,10:38 - s
193,Karim Massoud,1304,272,18:05 - s,105,169 reps - s,288,96 reps - s,355,192 reps - s,284,11:59 - s
194,Levent Kaleoglu,1312,148,16:35 - s,195,145 reps - s,319,95 reps - s,219,206 reps - s,431,14:01 - s
195,Kerem Akyuz,1315,293,18:23 - s,42,197 reps - s,109,141 reps - s,108,227 reps - s,763,0
196,Ryno Van Der Merwe,1319,176,16:54 - s,529,112 reps - s,186,114 reps - s,226,205 reps - s,202,10:54 - s
197,Alessio Nicolosi,1327,208,17:16 - s,942,0,33,215 reps - s,111,227 reps - s,33,8:15 - s
198,Rieffel Franck,1328,54,14:44 - s,238,141 reps - s,616,59 reps - s,120,223 reps - s,300,12:09 - s
199,Carel Du Toit,1335,195,17:08 - s,533,112 reps - s,194,107 reps - s,227,205 reps - s,186,10:45 - s
200,Rafat Shakhshir,1346,211,17:17 - s,460,116 reps - s,195,107 reps - s,328,195 reps - s,152,10:22 - s
201,Marco Pinheiro,1349,474,19:41 - s,283,136 reps - s,139,131 reps - s,378,190 reps - s,75,9:10 - s
202,Sean Watts,1351,402,19:16 - s,222,141 reps - s,301,95 reps - s,119,223 reps - s,307,12:15 - s
203,Robert tienne,1354,337,18:46 - s,419,119 reps - s,82,154 reps - s,291,199 reps - s,225,11:15 - s
204,Jorge Jauregui,1360,501,19:51 - s,322,129 reps - s,192,107 reps - s,265,202 reps - s,80,9:15 - s
205,Michael Da Camara,1365,271,18:04 - s,106,168 reps - s,238,105 reps - s,354,192 reps - s,396,13:31 - s
206,Zack Isakow,1366,255,17:53 - s,70,178 reps - s,100,143 reps - s,826,0,115,9:47 - s
207,Panteley Matanov,1391,515,19:58 - s,252,139 reps - s,216,106 reps - s,283,200 reps - s,125,9:59 - s
207,David Grobler,1391,453,19:35 - s,218,141 reps - s,316,95 reps - s,207,207 reps - s,197,10:51 - s
